"sample","site","species","ssd","per.N","per.C","ht","dbh","dbh2","dbh3","lma","type","C.N"
"FAGGRA06_GR","GR","faggra",0.531914893617021,2.028873831,44.18377652,8,10.5,NA,NA,0.043608446150513,NA,NA
"FAGGRA08_GR","GR","faggra",NA,NA,NA,6,4.8,NA,NA,NA,NA,NA
"FAGGRA09_GR","GR","faggra",NA,NA,NA,NA,29.1,NA,NA,NA,NA,NA
"FAGGRA10_GR","GR","faggra",NA,NA,NA,NA,14.6,11.8,NA,NA,NA,NA
"FAGGRA11_GR","GR","faggra",NA,NA,NA,NA,20,NA,NA,NA,NA,NA
"FRAAME01_GR","GR","fraame",NA,NA,NA,5,2.8,NA,NA,NA,NA,NA
"FRAAME02_GR","GR","fraame",0.46,3.105743923,45.61847479,6,3.4,3.6,NA,0.0319731175043415,NA,NA
"FRAAME03_GR","GR","fraame",0.352040816326531,3.024292824,42.65414336,8,3.7,NA,NA,0.0322801654852565,NA,NA
"FRAAME04_GR","GR","fraame",0.330645161290323,2.862918245,43.63523556,3.5,1.5,1.75,NA,0.0274830978947947,NA,NA
"FRAAME04-2?_GR","GR","fraame",0.555555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRAAME05_GR","GR","fraame",0.36969696969697,3.198178017,44.40728548,6.5,6,NA,NA,0.0292774329546785,NA,NA
"FRAAME06_GR","GR","fraame",0.467065868263473,2.99409551,43.92242815,11.5,5.9,3.7,NA,0.0257861856370946,NA,NA
"FRANIG01_GR","GR","franig",0.57037037037037,3.459319044,43.69219036,10,7.5,NA,NA,0.0225919681369575,NA,NA
"FRANIG02_GR","GR","franig",0.379310344827586,3.10734722,43.21392312,9.5,5.3,NA,NA,0.025263461816082,NA,NA
"FRANIG03_GR","GR","franig",0.493333333333333,2.963639366,42.55303357,10,8,NA,NA,0.0295668101738673,NA,NA
"FRANIG04_GR","GR","franig",0.480392156862745,3.117849221,42.55695384,8,4.9,NA,NA,0.0236331315954419,NA,NA
"FRANIG05_GR","GR","franig",0.378504672897196,3.524548689,44.00222539,2.6,1.9,NA,NA,0.0353619104004201,NA,NA
"FRANIG06_GR","GR","franig",0.414965986394558,2.960615043,42.66302549,2.5,1.8,NA,NA,0.0365146743347483,NA,NA
"FRANIG07_GR","GR","franig",0.466666666666667,3.145113325,43.38087354,12,9.6,NA,NA,0.0258053417057331,NA,NA
"FRANIG08_GR","GR","franig",0.421052631578947,3.690365777,43.66790888,8,4,NA,NA,0.0273316023318523,NA,NA
"FRANIG10_GR","GR","franig",NA,NA,NA,NA,17.7,16.2,NA,NA,NA,NA
"ILEMUC01_GR","GR","ilemuc",0.487179487179487,2.22141857,47.07156073,0.4,NA,NA,NA,0.0579231155821699,NA,NA
"ILEMUC02_GR","GR","ilemuc",0.526881720430108,2.563774084,48.50256244,1.4,1.4,NA,NA,0.0336353790370864,NA,NA
"ILEMUC03_GR","GR","ilemuc",0.605263157894737,2.744827317,48.02478715,1.5,1.3,NA,NA,0.0294665684447718,NA,NA
"ILEMUC04_GR","GR","ilemuc",0.561797752808989,2.384171816,47.1937465,3,1.4,1.4,1.7,0.0273046313473229,NA,NA
"ILEMUC05_GR","GR","ilemuc",0.505154639175258,2.784225411,47.61479184,2,1.1,1.1,1.2,0.024925524943616,NA,NA
"ILEMUC06_GR","GR","ilemuc",0.52,2.300744599,49.26549051,1.8,NA,NA,NA,0.0462296654891186,NA,NA
"ILEMUC07_GR","GR","ilemuc",NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA
"ILEMUC08_GR","GR","ilemuc",NA,NA,NA,2.3,2.125,1,NA,NA,NA,NA
"ILEMUC09_GR","GR","ilemuc",NA,NA,NA,2.2,1.3,1.1,NA,NA,NA,NA
