"","ind","site","sp","Latitude","Longitude","Elevation","Leaf.area","Fresh.mass","Dry.mass","Stem.volume","Stem.mass","ht","DBH","DBH.2","DBH.3","DBH.4","DBH.5","per.N","per.C","Stomatal.Length","stom_d","lma","wood.den","cn"
"125","FRAAME03_GR","GR","FRAAME",44.923636,-71.09139296,425,151.796,1.99,0.49,1.96,0.69,8,3.7,NA,NA,NA,NA,3.024292824,42.65414336,23.3766,93.91558909,0.00322801654852565,2.84057971014493,14.1038404156859
"126","FRAAME04_GR","GR","FRAAME",44.88484698,-71.11950897,505,345.667,3.64,0.95,1.24,0.41,3.5,1.5,1.75,NA,NA,NA,2.862918245,43.63523556,18.7284,162.2178357,0.00274830978947947,3.02439024390244,15.2415234476945
"127","FRAAME04-2?_GR","GR","FRAAME",NA,NA,NA,NA,2.81,0.54,1.44,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
"128","FRAAME05_GR","GR","FRAAME",44.88493902,-71.11943797,505,495.262,5.58,1.45,1.65,0.61,6.5,6,NA,NA,NA,NA,3.198178017,44.40728548,NA,NA,0.00292774329546785,2.70491803278689,13.8851825145292
"129","FRAAME06_GR","GR","FRAAME",NA,NA,NA,341.268,3.25,0.88,1.67,0.78,11.5,5.9,3.7,NA,NA,NA,2.99409551,43.92242815,NA,NA,0.00257861856370946,2.14102564102564,14.6696817129925
"130","FRANIG01_GR","GR","FRANIG",44.92539796,-71.09773002,429,239.023,2.7,0.54,1.35,0.77,10,7.5,NA,NA,NA,NA,3.459319044,43.69219036,12.7296,245.8880878,0.00225919681369575,1.75324675324675,12.6302864246597
"131","FRANIG02_GR","GR","FRANIG",44.92538597,-71.09776698,429,249.372,3.36,0.63,0.87,0.33,9.5,5.3,NA,NA,NA,NA,3.10734722,43.21392312,16.278,169.0480604,0.0025263461816082,2.63636363636364,13.9070145884759
"132","FRANIG03_GR","GR","FRANIG",44.92535697,-71.09775902,429,138.669,1.88,0.41,1.5,0.74,10,8,NA,NA,NA,NA,2.963639366,42.55303357,17.3272,237.350307,0.00295668101738673,2.02702702702703,14.3583710144306
"133","FRANIG04_GR","GR","FRANIG",44.92534298,-71.09768199,427,194.642,2.26,0.46,1.02,0.49,8,4.9,NA,NA,NA,NA,3.117849221,42.55695384,17.6852,189.5387343,0.00236331315954419,2.08163265306122,13.6494585925969
"134","FRANIG05_GR","GR","FRANIG",44.92539503,-71.09791702,431,373.283,6,1.32,2.14,0.81,2.6,1.9,NA,NA,NA,NA,3.524548689,44.00222539,NA,NA,0.00353619104004201,2.64197530864198,12.4844992288884
"135","FRANIG06_GR","GR","FRANIG",44.92533099,-71.09796002,431,328.635,5.4,1.2,1.47,0.61,2.5,1.8,NA,NA,NA,NA,2.960615043,42.66302549,NA,NA,0.00365146743347483,2.40983606557377,14.4101900687397
"136","FRANIG07_GR","GR","FRANIG",44.92513997,-71.097799,431,139.506,1.87,0.36,1.65,0.77,12,9.6,NA,NA,NA,NA,3.145113325,43.38087354,NA,NA,0.00258053417057331,2.14285714285714,13.7931034774399
"137","FRANIG08_GR","GR","FRANIG",44.92508297,-71.09783303,430,300.019,4.13,0.82,1.14,0.48,8,4,NA,NA,NA,NA,3.690365777,43.66790888,NA,NA,0.00273316023318523,2.375,11.8329486882189
