"","ind","sp","site","treatcode","warm","photo","chill","tleafm","lleafm","Height","DBH","stom_den","sla","wood_d","cn"
"163","ACERUB06_SH","ACERUB","SH","WL0","20","12","chill0",0,0,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
"164","ACERUB06_SH","ACERUB","SH","WL1","20","12","chill1",0,0,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
"165","ACERUB06_SH","ACERUB","SH","WL2","20","12","chill2",0,0,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
"166","ACERUB06_SH","ACERUB","SH","WS0","20","08","chill0",0,0,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
"167","ACERUB06_SH","ACERUB","SH","WS2","20","08","chill2",0,0,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
"168","ACERUB06_SH","ACERUB","SH","WS1","20","08","chill1",1,1,12.02,13.3,102.7799478,13.892816091954,1.88059701492537,30.8421200536741
"181","ACERUB08_SH","ACERUB","SH","CL0","15","12","chill0",0,0,6,16.6,NA,18.4356428571429,1.54385964912281,28.6120674470129
"182","ACERUB08_SH","ACERUB","SH","CL1","15","12","chill1",0,0,6,16.6,NA,18.4356428571429,1.54385964912281,28.6120674470129
"183","ACERUB08_SH","ACERUB","SH","CL2","15","12","chill2",0,0,6,16.6,NA,18.4356428571429,1.54385964912281,28.6120674470129
"184","ACERUB08_SH","ACERUB","SH","CS0","15","08","chill0",0,0,6,16.6,NA,18.4356428571429,1.54385964912281,28.6120674470129
"185","ACERUB08_SH","ACERUB","SH","CS1","15","08","chill1",0,0,6,16.6,NA,18.4356428571429,1.54385964912281,28.6120674470129
"186","ACERUB08_SH","ACERUB","SH","CS2","15","08","chill2",0,0,6,16.6,NA,18.4356428571429,1.54385964912281,28.6120674470129
"187","ACERUB08_SH","ACERUB","SH","WL0","20","12","chill0",0,0,6,16.6,NA,18.4356428571429,1.54385964912281,28.6120674470129
"188","ACERUB08_SH","ACERUB","SH","WL1","20","12","chill1",0,0,6,16.6,NA,18.4356428571429,1.54385964912281,28.6120674470129
"189","ACERUB08_SH","ACERUB","SH","WL2","20","12","chill2",0,0,6,16.6,NA,18.4356428571429,1.54385964912281,28.6120674470129
"190","ACERUB08_SH","ACERUB","SH","WS0","20","08","chill0",0,0,6,16.6,NA,18.4356428571429,1.54385964912281,28.6120674470129
"191","ACERUB08_SH","ACERUB","SH","WS2","20","08","chill2",0,0,6,16.6,NA,18.4356428571429,1.54385964912281,28.6120674470129
"192","ACERUB08_SH","ACERUB","SH","WS1","20","08","chill1",1,1,6,16.6,NA,18.4356428571429,1.54385964912281,28.6120674470129
"217","ACERUB10_SH","ACERUB","SH","CL0","15","12","chill0",0,0,11.2,17.1,NA,19.1915079365079,1.91034482758621,28.4156469654602
"218","ACERUB10_SH","ACERUB","SH","CL1","15","12","chill1",1,1,11.2,17.1,NA,19.1915079365079,1.91034482758621,28.4156469654602
"219","ACERUB10_SH","ACERUB","SH","CL2","15","12","chill2",0,0,11.2,17.1,NA,19.1915079365079,1.91034482758621,28.4156469654602
"220","ACERUB10_SH","ACERUB","SH","CS0","15","08","chill0",0,0,11.2,17.1,NA,19.1915079365079,1.91034482758621,28.4156469654602
"221","ACERUB10_SH","ACERUB","SH","CS1","15","08","chill1",0,0,11.2,17.1,NA,19.1915079365079,1.91034482758621,28.4156469654602
"222","ACERUB10_SH","ACERUB","SH","CS2","15","08","chill2",1,1,11.2,17.1,NA,19.1915079365079,1.91034482758621,28.4156469654602
"223","ACERUB10_SH","ACERUB","SH","WL0","20","12","chill0",0,0,11.2,17.1,NA,19.1915079365079,1.91034482758621,28.4156469654602
"224","ACERUB10_SH","ACERUB","SH","WL1","20","12","chill1",0,0,11.2,17.1,NA,19.1915079365079,1.91034482758621,28.4156469654602
"225","ACERUB10_SH","ACERUB","SH","WL2","20","12","chill2",0,0,11.2,17.1,NA,19.1915079365079,1.91034482758621,28.4156469654602
"226","ACERUB10_SH","ACERUB","SH","WS0","20","08","chill0",0,0,11.2,17.1,NA,19.1915079365079,1.91034482758621,28.4156469654602
"227","ACERUB10_SH","ACERUB","SH","WS2","20","08","chill2",0,0,11.2,17.1,NA,19.1915079365079,1.91034482758621,28.4156469654602
"228","ACERUB10_SH","ACERUB","SH","WS1","20","08","chill1",1,1,11.2,17.1,NA,19.1915079365079,1.91034482758621,28.4156469654602
"241","ACERUB13_HF","ACERUB","HF","CL0","15","12","chill0",0,0,13.5,12,54.81597218,26.6240243902439,1.5546218487395,24.8088091706805
"242","ACERUB13_HF","ACERUB","HF","CL1","15","12","chill1",0,0,13.5,12,54.81597218,26.6240243902439,1.5546218487395,24.8088091706805
"243","ACERUB13_HF","ACERUB","HF","CL2","15","12","chill2",0,0,13.5,12,54.81597218,26.6240243902439,1.5546218487395,24.8088091706805
"244","ACERUB13_HF","ACERUB","HF","CS0","15","08","chill0",0,0,13.5,12,54.81597218,26.6240243902439,1.5546218487395,24.8088091706805
"245","ACERUB13_HF","ACERUB","HF","CS1","15","08","chill1",0,0,13.5,12,54.81597218,26.6240243902439,1.5546218487395,24.8088091706805
"246","ACERUB13_HF","ACERUB","HF","CS2","15","08","chill2",NA,NA,13.5,12,54.81597218,26.6240243902439,1.5546218487395,24.8088091706805
"247","ACERUB13_HF","ACERUB","HF","WL0","20","12","chill0",0,0,13.5,12,54.81597218,26.6240243902439,1.5546218487395,24.8088091706805
"248","ACERUB13_HF","ACERUB","HF","WL1","20","12","chill1",0,0,13.5,12,54.81597218,26.6240243902439,1.5546218487395,24.8088091706805
"249","ACERUB13_HF","ACERUB","HF","WL2","20","12","chill2",NA,NA,13.5,12,54.81597218,26.6240243902439,1.5546218487395,24.8088091706805
"250","ACERUB13_HF","ACERUB","HF","WS0","20","08","chill0",0,0,13.5,12,54.81597218,26.6240243902439,1.5546218487395,24.8088091706805
"251","ACERUB13_HF","ACERUB","HF","WS2","20","08","chill2",0,0,13.5,12,54.81597218,26.6240243902439,1.5546218487395,24.8088091706805
"252","ACERUB13_HF","ACERUB","HF","WS1","20","08","chill1",0,0,13.5,12,54.81597218,26.6240243902439,1.5546218487395,24.8088091706805
"277","ACESAC02_HF","ACESAC","HF","CL0","15","12","chill0",0,0,7.5,6.25,NA,28.849156626506,1.65740740740741,29.5333798256332
"278","ACESAC02_HF","ACESAC","HF","CL1","15","12","chill1",0,0,7.5,6.25,NA,28.849156626506,1.65740740740741,29.5333798256332
"279","ACESAC02_HF","ACESAC","HF","CL2","15","12","chill2",0,0,7.5,6.25,NA,28.849156626506,1.65740740740741,29.5333798256332
"280","ACESAC02_HF","ACESAC","HF","CS0","15","08","chill0",0,0,7.5,6.25,NA,28.849156626506,1.65740740740741,29.5333798256332
"281","ACESAC02_HF","ACESAC","HF","CS1","15","08","chill1",0,0,7.5,6.25,NA,28.849156626506,1.65740740740741,29.5333798256332
"282","ACESAC02_HF","ACESAC","HF","CS2","15","08","chill2",0,0,7.5,6.25,NA,28.849156626506,1.65740740740741,29.5333798256332
"283","ACESAC02_HF","ACESAC","HF","WL0","20","12","chill0",0,0,7.5,6.25,NA,28.849156626506,1.65740740740741,29.5333798256332
"284","ACESAC02_HF","ACESAC","HF","WL1","20","12","chill1",0,0,7.5,6.25,NA,28.849156626506,1.65740740740741,29.5333798256332
"285","ACESAC02_HF","ACESAC","HF","WL2","20","12","chill2",0,0,7.5,6.25,NA,28.849156626506,1.65740740740741,29.5333798256332
"286","ACESAC02_HF","ACESAC","HF","WS0","20","08","chill0",0,0,7.5,6.25,NA,28.849156626506,1.65740740740741,29.5333798256332
"287","ACESAC02_HF","ACESAC","HF","WS2","20","08","chill2",0,0,7.5,6.25,NA,28.849156626506,1.65740740740741,29.5333798256332
"288","ACESAC02_HF","ACESAC","HF","WS1","20","08","chill1",0,0,7.5,6.25,NA,28.849156626506,1.65740740740741,29.5333798256332
"325","ACESAC06_HF","ACESAC","HF","CL0","15","12","chill0",0,0,12,7,NA,29.1152564102564,1.73684210526316,28.3626620525723
"326","ACESAC06_HF","ACESAC","HF","CL1","15","12","chill1",0,0,12,7,NA,29.1152564102564,1.73684210526316,28.3626620525723
"327","ACESAC06_HF","ACESAC","HF","CL2","15","12","chill2",0,0,12,7,NA,29.1152564102564,1.73684210526316,28.3626620525723
