site,species,indiv.no,date.x,stem.wt,dist.top,dist.btm,ht,dbh,dbh2,dbh3,date.y,collected.by,leaf.no,area,
kl,acegla,9,28-Jul,NA,7,6,3.605551275,4.034,NA,NA,28-Jul-19,slh,4,34.384,
kl,acegla,9,28-Jul,NA,7,6,3.605551275,4.034,NA,NA,28-Jul-19,slh,5,30.625,
kl,acegla,10,28-Jul,NA,NA,NA,#VALUE!,10.6,NA,NA,28-Jul-19,slh,1,36.793,
kl,acegla,10,28-Jul,NA,NA,NA,#VALUE!,10.6,NA,NA,28-Jul-19,slh,2,42.312,
kl,acegla,10,28-Jul,NA,NA,NA,#VALUE!,10.6,NA,NA,28-Jul-19,slh,3,50.154,
kl,acegla,10,28-Jul,NA,NA,NA,#VALUE!,10.6,NA,NA,28-Jul-19,slh,4,59.659,
kl,acegla,10,28-Jul,NA,NA,NA,#VALUE!,10.6,NA,NA,28-Jul-19,slh,5,63.965,
kl,alninc,2,25-Jul,NA,6,5,3.31662479,3.575,4.041,3.482,25-Jul-19,slh,1,26.501,
kl,alninc,2,25-Jul,NA,6,5,3.31662479,3.575,4.041,3.482,25-Jul-19,slh,2,40.916,
kl,alninc,2,25-Jul,NA,6,5,3.31662479,3.575,4.041,3.482,25-Jul-19,slh,3,27.838,
kl,alninc,2,25-Jul,NA,6,5,3.31662479,3.575,4.041,3.482,25-Jul-19,slh,4,41.342,
kl,alninc,2,25-Jul,NA,6,5,3.31662479,3.575,4.041,3.482,25-Jul-19,slh,5,44.08,
kl,alninc,4,25-Jul,NA,7,6,3.605551275,2.948,3.424,1.496,25-Jul-19,slh,1,31.652,
kl,alninc,4,25-Jul,NA,7,6,3.605551275,2.948,3.424,1.496,25-Jul-19,slh,2,27.151,
kl,alninc,4,25-Jul,NA,7,6,3.605551275,2.948,3.424,1.496,25-Jul-19,slh,3,36.775,
kl,alninc,4,25-Jul,NA,7,6,3.605551275,2.948,3.424,1.496,25-Jul-19,slh,4,25.949,
kl,alninc,4,25-Jul,NA,7,6,3.605551275,2.948,3.424,1.496,25-Jul-19,slh,5,35.913,
kl,alnrub,2,28-Jul,NA,7,5,4.898979486,6.5,NA,NA,28-Jul-19,slh,1,32.835,
kl,alnrub,2,28-Jul,NA,7,5,4.898979486,6.5,NA,NA,28-Jul-19,slh,2,25.03,
kl,alnrub,2,28-Jul,NA,7,5,4.898979486,6.5,NA,NA,28-Jul-19,slh,3,26.869,
kl,alnrub,2,28-Jul,NA,7,5,4.898979486,6.5,NA,NA,28-Jul-19,slh,4,33.094,
kl,alnrub,2,28-Jul,NA,7,5,4.898979486,6.5,NA,NA,28-Jul-19,slh,5,20.774,
kl,alnrub,3,28-Jul,NA,12,10,6.633249581,11.1,NA,NA,28-Jul-19,slh,1,28.925,
kl,alnrub,3,28-Jul,NA,12,10,6.633249581,11.1,NA,NA,28-Jul-19,slh,2,30.516,
kl,alnrub,3,28-Jul,NA,12,10,6.633249581,11.1,NA,NA,28-Jul-19,slh,3,26.01,
kl,alnrub,3,28-Jul,NA,12,10,6.633249581,11.1,NA,NA,28-Jul-19,slh,4,31.798,
kl,alnrub,3,28-Jul,NA,12,10,6.633249581,11.1,NA,NA,28-Jul-19,slh,5,27.104,
kl,alnrub,4,28-Jul,NA,16,12,10.58300524,17.7,NA,NA,28-Jul-19,slh,1,25.755,
kl,alnrub,4,28-Jul,NA,16,12,10.58300524,17.7,NA,NA,28-Jul-19,slh,2,31.644,
kl,alnrub,4,28-Jul,NA,16,12,10.58300524,17.7,NA,NA,28-Jul-19,slh,3,22.074,
kl,alnrub,4,28-Jul,NA,16,12,10.58300524,17.7,NA,NA,28-Jul-19,slh,4,41.041,
kl,alnrub,4,28-Jul,NA,16,12,10.58300524,17.7,NA,NA,28-Jul-19,slh,5,37.817,
kl,alnrub,5,28-Jul,NA,11,10,4.582575695,10.4,NA,NA,28-Jul-19,slh,1,27.423,
kl,alnrub,5,28-Jul,NA,11,10,4.582575695,10.4,NA,NA,28-Jul-19,slh,2,27.832,
kl,alnrub,5,28-Jul,NA,11,10,4.582575695,10.4,NA,NA,28-Jul-19,slh,3,19.581,
kl,alnrub,5,28-Jul,NA,11,10,4.582575695,10.4,NA,NA,28-Jul-19,slh,4,29.48,
kl,alnrub,5,28-Jul,NA,11,10,4.582575695,10.4,NA,NA,28-Jul-19,slh,5,19.763,
kl,alnrub,6,28-Jul,NA,9,3,8.485281374,6.7,NA,NA,28-Jul-19,slh,1,18.093,
kl,alnrub,6,28-Jul,NA,9,3,8.485281374,6.7,NA,NA,28-Jul-19,slh,2,31.999,
kl,alnrub,6,28-Jul,NA,9,3,8.485281374,6.7,NA,NA,28-Jul-19,slh,3,28.788,
kl,alnrub,6,28-Jul,NA,9,3,8.485281374,6.7,NA,NA,28-Jul-19,slh,4,38.194,
kl,alnrub,6,28-Jul,NA,9,3,8.485281374,6.7,NA,NA,28-Jul-19,slh,5,28.89,
kl,alnrub,8,28-Jul,NA,10,8,6,7.5,6,NA,28-Jul-19,slh,1,20.694,
kl,alnrub,8,28-Jul,NA,10,8,6,7.5,6,NA,28-Jul-19,slh,2,15.163,
kl,alnrub,8,28-Jul,NA,10,8,6,7.5,6,NA,28-Jul-19,slh,3,12.212,
kl,alnrub,8,28-Jul,NA,10,8,6,7.5,6,NA,28-Jul-19,slh,4,18.578,
kl,alnrub,8,28-Jul,NA,10,8,6,7.5,6,NA,28-Jul-19,slh,5,15.045,
kl,alnrub,10,28-Jul,NA,9,4,8.062257748,9.8,NA,NA,28-Jul-19,slh,1,21.391,
kl,alnrub,10,28-Jul,NA,9,4,8.062257748,9.8,NA,NA,28-Jul-19,slh,2,18.439,
kl,alnrub,10,28-Jul,NA,9,4,8.062257748,9.8,NA,NA,28-Jul-19,slh,3,23.755,
kl,alnrub,10,28-Jul,NA,9,4,8.062257748,9.8,NA,NA,28-Jul-19,slh,4,27.746,
kl,alnrub,10,28-Jul,NA,9,4,8.062257748,9.8,NA,NA,28-Jul-19,slh,5,34.529,
kl,alnvir,3,26-Jul,NA,NA,NA,360.1,1.582,1.764,1.861,26-Jul-19,slh,1,26.261,
kl,alnvir,3,26-Jul,NA,NA,NA,360.1,1.582,1.764,1.861,26-Jul-19,slh,2,36.267,
kl,alnvir,3,26-Jul,NA,NA,NA,360.1,1.582,1.764,1.861,26-Jul-19,slh,3,32.353,
kl,alnvir,3,26-Jul,NA,NA,NA,360.1,1.582,1.764,1.861,26-Jul-19,slh,4,35.046,
kl,alnvir,3,26-Jul,NA,NA,NA,360.1,1.582,1.764,1.861,26-Jul-19,slh,5,26.459,
kl,alnvir,5,24-Jul,NA,NA,NA,170.6,1.756,2,1.953,24-Jul-19,my,1,48.437,
kl,alnvir,5,24-Jul,NA,NA,NA,170.6,1.756,2,1.953,24-Jul-19,my,2,26.697,
kl,alnvir,5,24-Jul,NA,NA,NA,170.6,1.756,2,1.953,24-Jul-19,my,3,24.484,
kl,alnvir,5,24-Jul,NA,NA,NA,170.6,1.756,2,1.953,24-Jul-19,my,4,39.543,
kl,alnvir,5,24-Jul,NA,NA,NA,170.6,1.756,2,1.953,24-Jul-19,my,5,25.464,
kl,alnvir,6,24-Jul,NA,NA,NA,174.9,2.288,1.396,1.929,24-Jul-19,my,1,48.051,
kl,alnvir,6,24-Jul,NA,NA,NA,174.9,2.288,1.396,1.929,24-Jul-19,my,2,39.758,
kl,alnvir,6,24-Jul,NA,NA,NA,174.9,2.288,1.396,1.929,24-Jul-19,my,3,44.907,
kl,alnvir,6,24-Jul,NA,NA,NA,174.9,2.288,1.396,1.929,24-Jul-19,my,4,50.604,
kl,alnvir,6,24-Jul,NA,NA,NA,174.9,2.288,1.396,1.929,24-Jul-19,my,5,47.682,
kl,alnvir,8,26-Jul,NA,NA,NA,307.4,1.828,1.296,1.464,26-Jul-19,slh,1,30.141,
kl,alnvir,8,26-Jul,NA,NA,NA,307.4,1.828,1.296,1.464,26-Jul-19,slh,2,26.811,
kl,alnvir,8,26-Jul,NA,NA,NA,307.4,1.828,1.296,1.464,26-Jul-19,slh,3,22.601,
kl,alnvir,8,26-Jul,NA,NA,NA,307.4,1.828,1.296,1.464,26-Jul-19,slh,4,25.241,
kl,alnvir,8,26-Jul,NA,NA,NA,307.4,1.828,1.296,1.464,26-Jul-19,slh,5,59.969,
kl,alnvir,10,28-Jul,NA,NA,NA,481.1,4.339,4.582,3.381,28-Jul-19,slh,1,88.831,
kl,alnvir,10,28-Jul,NA,NA,NA,481.1,4.339,4.582,3.381,28-Jul-19,slh,2,26.51,
kl,alnvir,10,28-Jul,NA,NA,NA,481.1,4.339,4.582,3.381,28-Jul-19,slh,3,59.466,
kl,alnvir,10,28-Jul,NA,NA,NA,481.1,4.339,4.582,3.381,28-Jul-19,slh,4,32.595,
