date,site,species,indiv.no,stem.wt,dist.top,dist.btm,ht,dbh,dbh2,dbh3
04-Jul,af,rubida,6,NA,NA,NA,0.885,0.656,NA,NA
02-Jul,af,rubida,10,NA,NA,NA,0.876,0.607,NA,NA
02-Jul,af,rubida,11,NA,NA,NA,1.461,0.767,NA,NA
03-Jul,af,rubida,12,NA,NA,NA,1.061,0.649,NA,NA
03-Jul,af,rubida,13,NA,NA,NA,0.913,0.54,NA,NA
04-Jul,af,rubida,14,NA,NA,NA,1.314,1.082,NA,NA
04-Jul,af,rubida,15,NA,NA,NA,1.301,0.781,NA,NA
04-Jul,af,rubida,16,NA,NA,NA,1.247,0.793,NA,NA
04-Jul,af,rubida,17,NA,NA,NA,1.042,0.592,NA,NA
11-Jun,af,rubida ,1,NA,NA,NA,0.812,0.645,0.571,0.521
13-Jun,af,rubpar,2,NA,NA,NA,0.91,0.787,NA,NA
13-Jun,af,rubpar,3,NA,NA,NA,1.169,0.846,NA,NA
11-Jun,af,rubpar,4,NA,NA,NA,0.691,0.636,NA,NA
02-Jul,af,rubpar,5,NA,NA,NA,0.591,0.463,NA,NA
02-Jul,af,rubpar,6,NA,NA,NA,0.644,0.484,0.552,0.426
02-Jul,af,rubpar,9,NA,NA,NA,0.752,0.621,NA,NA
03-Jul,af,rubpar,10,NA,NA,NA,1.276,0.69,NA,NA
03-Jul,af,rubpar,11,NA,NA,NA,1.043,0.709,NA,NA
03-Jul,af,rubpar,13,NA,NA,NA,0.884,0.658,NA,NA
03-Jul,af,rubpar,15,NA,NA,NA,1.4,0.881,NA,NA
03-Jul,af,rubpar,16,NA,NA,NA,1.4,1.031,NA,NA
03-Jul,af,rubpar,14,NA,NA,NA,0.891,0.616,NA,NA
11-Jun,af,rubspe,1,NA,NA,NA,1.218,0.628,0.636,0.784
11-Jun,af,rubspe,7,NA,NA,NA,1.672,0.581,NA,NA
12-Jun,af,rubspe,10,NA,NA,NA,0.766,0.409,NA,NA
11-Jun,af,samrac,1,NA,NA,NA,2.194,3.071,NA,NA
11-Jun,af,samrac,3,NA,NA,NA,1.834,1.858,NA,NA
04-Jul,af,samrac,4,NA,NA,NA,1.805,1.91,NA,NA
04-Jul,af,samrac,5,NA,NA,NA,1.975,1.87,NA,NA
03-Jul,af,samrac,6,NA,NA,NA,2.084,3.365,NA,NA
03-Jul,af,samrac,7,NA,NA,NA,2.21,1.726,1.384,1.791
11-Jun,af,samrac,9,NA,NA,NA,1.662,1.383,NA,NA
03-Jul,af,samrac,10,NA,NA,NA,1.691,2.919,NA,NA
04-Jul,af,samrac,12,NA,NA,NA,2.512,2.45,NA,NA
04-Jul,af,samrac,13,NA,NA,NA,2.356,2.054,NA,NA
11-Jun,af,shecan,1,NA,NA,NA,0.742,0.946,NA,NA
13-Jun,af,shecan,2,NA,NA,NA,1.03,1.315,NA,NA
13-Jun,af,shecan,3,NA,NA,NA,0.796,0.789,0.64,0.731
11-Jun,af,shecan,4,NA,NA,NA,0.877,0.958,NA,NA
11-Jun,af,shecan,5,NA,NA,NA,1.506,2.439,NA,NA
02-Jul,af,shecan,6,NA,NA,NA,1.57,0.986,1.087,0.88
02-Jul,af,shecan,7,NA,NA,NA,1.535,1.342,1.484,NA
02-Jul,af,shecan,8,NA,NA,NA,1.471,1.841,NA,NA
02-Jul,af,shecan,9,NA,NA,NA,1.044,1.139,NA,NA
02-Jul,af,shecan,10,NA,NA,NA,1.695,2.444,NA,NA
11-Jun,af,sorsco,2,NA,NA,NA,2.262,2.825,NA,NA
12-Jun,af,sorsco,3,NA,7,5,4.898979486,1.719,NA,NA
13-Jun,af,sorsco,3,NA,NA,NA,1.733,3.2,4,NA
02-Jul,af,sorsco,6,NA,NA,NA,1.32,1.226,0.984,NA
02-Jul,af,sorsco,7,NA,NA,NA,2.072,1.538,1.468,NA
02-Jul,af,sorsco,8,NA,NA,NA,4.388,1.799,NA,NA
02-Jul,af,sorsco,9,NA,NA,NA,3.642,1.271,1.407,NA
02-Jul,af,sorsco,10,NA,NA,NA,3.914,1.295,NA,NA
02-Jul,af,sorsco,11,NA,NA,NA,3.466,2.772,NA,NA
03-Jul,af,sorsco,13,NA,NA,NA,2.094,2.246,NA,NA
12-Jun,af,spibet,1,NA,NA,NA,0.465,0.315,NA,NA
11-Jun,af,spibet,2,NA,NA,NA,0.55,0.559,NA,NA
13-Jun,af,spibet,4,NA,NA,NA,0.505,0.299,NA,NA
11-Jun,af,spibet,5,NA,NA,NA,0.636,0.392,NA,NA
11-Jun,af,spibet,11,NA,NA,NA,0.502,0.354,NA,NA
11-Jun,af,spibet,12,NA,NA,NA,0.512,0.448,NA,NA
13-Jun,af,spibet,13,NA,NA,NA,0.971,0.588,NA,NA
13-Jun,af,spibet,14,NA,NA,NA,0.912,0.565,NA,NA
12-Jun,af,spibet,20,NA,NA,NA,0.577,0.361,NA,NA
11-Jun,af,spibet ,06_02,NA,NA,NA,0.516,0.283,NA,NA
12-Jun,af,spidou,1,NA,NA,NA,0.832,0.509,NA,NA
13-Jun,af,spidou,2,NA,NA,NA,1.075,0.725,NA,NA
03-Jul,af,spidou,3,NA,NA,NA,1.032,0.495,NA,NA
13-Jun,af,spidou,4,NA,NA,NA,1.606,1.182,NA,NA
03-Jul,af,spidou,11,NA,NA,NA,1.299,0.548,NA,NA
03-Jul,af,spidou,12,NA,NA,NA,1.215,0.81,NA,NA
04-Jul,af,spidou,13,NA,NA,NA,1.592,0.685,NA,NA
13-Jun,af,spidou,19,NA,NA,NA,1.399,1.078,NA,NA
12-Jun,af,spidou,20,NA,NA,NA,0.981,0.65,NA,NA
13-Jun,af,spidou,19_02,NA,NA,NA,1.414,0.682,NA,NA
12-Jun,af,spipyr,1,NA,NA,NA,1.146,0.771,NA,NA
13-Jun,af,spipyr,2,NA,NA,NA,1.323,0.993,NA,NA
03-Jul,af,spipyr,11,NA,NA,NA,1.003,0.6,NA,NA
04-Jul,af,spipyr,12,NA,NA,NA,1.152,0.576,NA,NA
04-Jul,af,spipyr,13,NA,NA,NA,1.52,0.859,NA,NA
04-Jul,af,spipyr,14,NA,NA,NA,1.08,0.507,NA,NA
13-Jun,af,spipyr,16,NA,NA,NA,0.993,0.76,NA,NA
13-Jun,af,spipyr,17,NA,NA,NA,0.976,0.591,NA,NA
13-Jun,af,spipyr,18,NA,NA,NA,1.451,0.867,NA,NA
12-Jun,af,spipyr,19,NA,NA,NA,0.874,0.788,NA,NA
12-Jun,af,symalb,1,NA,NA,NA,0.732,0.556,NA,NA
12-Jun,af,symalb,2,NA,NA,NA,1.222,0.699,NA,NA
13-Jun,af,symalb,3,NA,NA,NA,1.264,1.031,NA,NA
11-Jun,af,symalb,4,NA,NA,NA,1.152,0.78,NA,NA
02-Jul,af,symalb,5,NA,NA,NA,1.146,0.604,NA,NA
02-Jul,af,symalb,6,NA,NA,NA,0.952,0.55,0.59,NA
02-Jul,af,symalb,7,NA,NA,NA,0.535,0.278,NA,NA
02-Jul,af,symalb,8,NA,NA,NA,0.6,0.609,NA,NA
11-Jun,af,symalb,11,NA,NA,NA,0.834,0.872,NA,NA
04-Jul,af,symalb,12,NA,NA,NA,0.689,0.531,NA,NA
12-Jun,af,vacmem,1,NA,NA,NA,0.449,0.508,NA,NA
02-Jul,af,vacmem,3,NA,NA,NA,0.482,0.521,NA,NA
02-Jul,af,vacmem,4,NA,NA,NA,0.304,0.293,NA,NA
02-Jul,af,vacmem,5,NA,NA,NA,0.681,0.971,0.876,0.759
04-Jul,af,vacmem,6,NA,NA,NA,0.356,0.366,NA,NA
04-Jul,af,vacmem,7,NA,NA,NA,0.55,0.574,NA,NA
04-Jul,af,vacmem,8,NA,NA,NA,0.512,0.677,NA,NA
04-Jul,af,vacmem,9,NA,NA,NA,0.501,0.864,NA,NA
04-Jul,af,vacmem,10,NA,NA,NA,0.282,0.624,NA,NA
12-Jun,af,vacmem,20,NA,NA,NA,0.438,0.493,NA,NA
12-Jun,af,vibedu,1,NA,NA,NA,1.116,0.866,NA,NA
03-Jul,af,vibedu,2,NA,NA,NA,0.748,0.822,NA,NA
12-Jun,af,vibedu,3,NA,NA,NA,1.118,0.744,NA,NA
13-Jun,af,vibedu,3,NA,NA,NA,1.118,0.93,NA,NA
02-Jul,af,vibedu,4,NA,NA,NA,0.804,1.085,NA,NA
02-Jul,af,vibedu,5,NA,NA,NA,1.36,1.067,NA,NA
02-Jul,af,vibedu,6,NA,NA,NA,2.169,1.392,NA,NA
02-Jul,af,vibedu,7,NA,NA,NA,1.185,0.856,NA,NA
02-Jul,af,vibedu,8,NA,NA,NA,0.847,0.571,NA,NA
02-Jul,af,vibedu,11,NA,NA,NA,1.235,0.898,NA,NA
03-Jul,af,vibedu,12,NA,NA,NA,1.509,1.345,NA,NA
29-Jul,kl,acegla,1,NA,6,5,3.31662479,40.8,5.136,4.69
26-Jul,kl,acegla,3,NA,NA,NA,4.703,2.546,2.037,NA
24-Jul,kl,acegla,4,NA,7,6,3.605551275,13.1,NA,NA
24-Jul,kl,acegla,5,NA,11,6,9.219544457,9.6,6.9,NA
24-Jul,kl,acegla,6,NA,7,6,3.605551275,6.1,NA,NA
24-Jul,kl,acegla,7,NA,12,6,10.39230485,6.5,8.4,8.1
25-Jul,kl,acegla,8,NA,11,9,6.32455532,6.143,8.48,7.224
28-Jul,kl,acegla,9,NA,7,6,3.605551275,4.034,NA,NA
28-Jul,kl,acegla,10,NA,NA,NA,0,10.6,NA,NA
30-Jul,kl,acegla,11,NA,10,7,7.141428429,5.3,3.4,2.2
25-Jul,kl,alninc,1,NA,NA,NA,4.518,3.557,2.765,2.058
25-Jul,kl,alninc,2,NA,6,5,3.31662479,3.575,4.041,3.482
25-Jul,kl,alninc,3,NA,9,7,5.656854249,8.644,2.392,NA
25-Jul,kl,alninc,4,NA,7,6,3.605551275,2.948,3.424,1.496
28-Jul,kl,alnrub,1,NA,9,7,5.656854249,6.5,NA,NA
28-Jul,kl,alnrub,2,NA,7,5,4.898979486,6.5,NA,NA
28-Jul,kl,alnrub,3,NA,12,10,6.633249581,11.1,NA,NA
28-Jul,kl,alnrub,4,NA,16,12,10.58300524,17.7,NA,NA
28-Jul,kl,alnrub,5,NA,11,10,4.582575695,10.4,NA,NA
28-Jul,kl,alnrub,6,NA,9,3,8.485281374,6.7,NA,NA
28-Jul,kl,alnrub,7,NA,9,8,4.123105626,9.9,NA,NA
28-Jul,kl,alnrub,8,NA,10,8,6,7.5,6,NA
28-Jul,kl,alnrub,9,NA,8,3.5,7.193747285,10.1,NA,NA
28-Jul,kl,alnrub,10,NA,9,4,8.062257748,9.8,NA,NA
26-Jul,kl,alnvir,2,NA,NA,NA,3.504,2.833,3.633,3.268
26-Jul,kl,alnvir,3,NA,NA,NA,3.601,1.582,1.764,1.861
24-Jul,kl,alnvir,5,NA,NA,NA,1.706,1.756,2,1.953
24-Jul,kl,alnvir,6,NA,NA,NA,1.749,2.288,1.396,1.929
25-Jul,kl,alnvir,7,NA,NA,NA,3.148,1.758,2.252,1.074
26-Jul,kl,alnvir,8,NA,NA,NA,3.074,1.828,1.296,1.464
28-Jul,kl,alnvir,9,NA,5,4,3,3.809,2.552,2.27
28-Jul,kl,alnvir,10,NA,NA,NA,4.811,4.339,4.582,3.381
28-Jul,kl,alnvir,11,NA,NA,NA,4.526,3.174,2.26,2.133
28-Jul,kl,alnvir,12,NA,NA,NA,8.704,2.825,2.24,2.688
29-Jul,kl,amealn,1,NA,NA,NA,3.573,3.137,1.981,0.922
29-Jul,kl,amealn,2,NA,NA,NA,5.21,3.368,NA,NA
29-Jul,kl,amealn,3,NA,NA,NA,5.296,3.835,NA,NA
24-Jul,kl,amealn,4,NA,NA,NA,3.812,1.66,1.511,1.539
26-Jul,kl,amealn,5,NA,NA,NA,2.339,1.48,NA,NA
26-Jul,kl,amealn,6,NA,NA,NA,3.502,2.612,NA,NA
26-Jul,kl,amealn,7,NA,NA,NA,2.863,1.931,NA,NA
26-Jul,kl,amealn,8,NA,7,5,4.898979486,3.464,2.252,1.985
28-Jul,kl,amealn,9,NA,NA,NA,2.175,2.062,NA,NA
28-Jul,kl,amealn,10,NA,NA,NA,2.134,2.259,NA,NA
29-Jul,kl,betpap,5,NA,19,16,10.24695077,12.7,7.9,NA
24-Jul,kl,betpap,6,NA,15,12,9,9.8,NA,NA
24-Jul,kl,betpap,7,NA,15,9,12,11.9,NA,NA
24-Jul,kl,betpap,8,NA,14,10,9.797958971,15.5,NA,NA
26-Jul,kl,betpap,9,NA,17,12,12.04159458,17.1,14.9,9.9
28-Jul,kl,betpap,9,NA,23,16,16.52271164,29.7,8.4,NA
28-Jul,kl,betpap,10,NA,16,12,10.58300524,13.3,NA,NA
28-Jul,kl,betpap,11,NA,11,5,9.797958971,8.2,NA,NA
28-Jul,kl,betpap,12,NA,11,9,6.32455532,10.4,NA,NA
29-Jul,kl,betpap,13,NA,25,18,17.34935157,30.3,NA,NA
29-Jul,kl,betpap,14,NA,19,14,12.84523258,23.3,18.6,NA
26-Jul,kl,corsto,3,NA,NA,NA,3.519,3.183,2.246,2.11
24-Jul,kl,corsto,5,NA,NA,NA,4.618,2.674,NA,NA
24-Jul,kl,corsto,6,NA,NA,NA,4.808,3.2,NA,NA
24-Jul,kl,corsto,7,NA,NA,NA,4.708,4.85,4.612,3.148
25-Jul,kl,corsto,8,NA,NA,NA,2.15,1.914,NA,NA
25-Jul,kl,corsto,9,NA,NA,NA,2.764,2.39,NA,NA
25-Jul,kl,corsto,10,NA,NA,NA,3.127,3.181,3.748,NA
28-Jul,kl,corsto,11,NA,NA,NA,2.903,3.79,3.949,1.933
28-Jul,kl,corsto,12,NA,NA,NA,3.342,2.696,NA,NA
30-Jul,kl,corsto,13,NA,NA,NA,3.382,2.869,2.002,1.432
29-Jul,kl,loninv,1,NA,NA,NA,1.682,0.992,NA,NA
29-Jul,kl,loninv,2,NA,NA,NA,1.61,1.102,NA,NA
26-Jul,kl,loninv,3,NA,NA,NA,2.053,1.256,0.968,NA
26-Jul,kl,loninv,4,NA,NA,NA,1.39,1.225,NA,NA
24-Jul,kl,loninv,5,NA,NA,NA,1.022,0.761,NA,NA
25-Jul,kl,loninv,6,NA,NA,NA,1.304,1.494,NA,NA
25-Jul,kl,loninv,7,NA,NA,NA,1.4,1.879,NA,NA
25-Jul,kl,loninv,8,NA,NA,NA,1.657,2.07,1.954,2.223
26-Jul,kl,loninv,9,NA,NA,NA,1.678,1.234,1.177,0.975
26-Jul,kl,loninv,10,NA,NA,NA,2.005,1.889,2.225,1.602
29-Jul,kl,popbal,1,NA,15,12,9,14.7,NA,NA
29-Jul,kl,popbal,3,NA,22,15,16.09347694,19.5,NA,NA
24-Jul,kl,popbal,4,NA,29,23,17.66352173,32.6,NA,NA
24-Jul,kl,popbal,5,NA,24,18,15.87450787,23.2,NA,NA
24-Jul,kl,popbal,6,NA,21,14,15.65247584,18.5,17.5,21.5
24-Jul,kl,popbal,7,NA,21,14,15.65247584,25.8,NA,NA
24-Jul,kl,popbal,8,NA,21,16,13.60147051,20.5,NA,NA
28-Jul,kl,popbal,9,NA,7,5,4.898979486,7.2,NA,NA
28-Jul,kl,popbal,10,NA,27,23,14.14213562,24,23.5,12.5
28-Jul,kl,popbal,11,NA,16,8,13.85640646,20.1,NA,NA
26-Jul,kl,poptre,1,NA,NA,NA,5.775,2.85,NA,NA
26-Jul,kl,poptre,2,NA,NA,NA,4.616,2.682,NA,NA
24-Jul,kl,poptre,3,NA,9,7,5.656854249,7.2,NA,NA
24-Jul,kl,poptre,4,NA,7,6,3.605551275,6.1,NA,NA
28-Jul,kl,poptre,5,NA,16,7,14.38749457,21.7,NA,NA
28-Jul,kl,poptre,6,NA,10,7,7.141428429,9.9,NA,NA
28-Jul,kl,poptre,7,NA,14,11,8.660254038,11.8,NA,NA
29-Jul,kl,poptre,8,NA,15,10,11.18033989,13.3,NA,NA
29-Jul,kl,poptre,9,NA,12,8,8.94427191,8.8,NA,NA
29-Jul,kl,poptre,10,NA,20,15,13.22875656,20,NA,NA
25-Jul,kl,rhoalb,1,NA,NA,NA,1.023,1.76,NA,NA
25-Jul,kl,rhoalb,2,NA,NA,NA,1.316,1.639,1.279,1.587
30-Jul,kl,rhoalb,3,NA,NA,NA,1.104,1.228,1.447,1.453
30-Jul,kl,rhoalb,4,NA,NA,NA,1.331,1.288,1.649,1.187
30-Jul,kl,rhoalb,5,NA,NA,NA,1.914,1.643,0.999,NA
30-Jul,kl,rhoalb,6,NA,NA,NA,2.012,1.744,1.433,0.75
30-Jul,kl,rhoalb,7,NA,NA,NA,1.816,1.742,1.296,1.212
30-Jul,kl,rhoalb,8,NA,NA,NA,1.206,0.985,NA,NA
30-Jul,kl,rhoalb,9,NA,NA,NA,1.66,1.901,NA,NA
30-Jul,kl,rhoalb,10,NA,NA,NA,1.103,1.392,1.375,NA
29-Jul,kl,riblac,1,NA,NA,NA,1.519,0.648,0.62,NA
29-Jul,kl,riblac,2,NA,NA,NA,1.404,0.592,NA,NA
29-Jul,kl,riblac,3,NA,NA,NA,1.222,0.849,NA,NA
26-Jul,kl,riblac,7,NA,NA,NA,0.538,0.337,0.377,NA
26-Jul,kl,riblac,8,NA,NA,NA,0.861,0.728,NA,NA
24-Jul,kl,riblac,9,NA,NA,NA,0.553,0.565,2.422,NA
28-Jul,kl,riblac,10,NA,NA,NA,0.501,0.471,NA,NA
28-Jul,kl,riblac,11,NA,NA,NA,1.214,0.742,NA,NA
29-Jul,kl,riblac,13,NA,NA,NA,1.304,0.743,NA,NA
29-Jul,kl,riblac,12_02,NA,NA,NA,1.068,0.655,0.69,NA
29-Jul,kl,rosgym,1,NA,NA,NA,1.472,0.676,NA,NA
29-Jul,kl,rosgym,2,NA,NA,NA,1.461,0.885,NA,NA
26-Jul,kl,rosgym,4,NA,NA,NA,1.275,0.972,NA,NA
24-Jul,kl,rosgym,6,NA,NA,NA,1.659,1.008,NA,NA
24-Jul,kl,rosgym,7,NA,NA,NA,1.127,1.054,NA,NA
26-Jul,kl,rosgym,8,NA,NA,NA,1.867,1.26,1.148,0.768
26-Jul,kl,rosgym,9,NA,NA,NA,1.21,8.2,NA,NA
28-Jul,kl,rosgym,10,NA,NA,NA,1.192,0.278,NA,NA
28-Jul,kl,rosgym,11,NA,NA,NA,0.746,0.518,NA,NA
28-Jul,kl,rosgym,12,NA,NA,NA,1.014,0.672,NA,NA
29-Jul,kl,rubida,1,NA,NA,NA,1.362,0.654,NA,NA
28-Jul,kl,rubida,2,NA,NA,NA,0.62,0.426,NA,NA
