site,species,indiv.no,stem.weight,
af,popbal,6,1368.3,
af,popbal,7,1481,
af,popbal,8,1496.4,
af,sorsco,6,1005.3,
mp,rhoalb,1,1346.5,
mp,rhoalb,2,1120,
mp,rhoalb,3,773.3,
mp,rhoalb,4,1473.8,
mp,rhoalb,11,1271.7,
mp,rhoalb,12,1040.4,
mp,rosaci,3,1441.9,
mp,rosgym,4,884.2,
mp,rosgym,5,1106.1,
mp,rosgym,6,844.8,
mp,rosgym,7,580.6,
mp,rosaci,4,998.2,
mp,rosaci,6,947.8,
mp,rosaci,7,1155.1,
mp,rosaci,8,1669.9,
mp,shecan,2,1221.3,
mp,shecan,3,2080.4,
mp,shecan,4,1494.5,
mp,shecan,5,1721.3,
mp,shecan,6,1192.5,
mp,shecan,8,2408.9,
mp,shecan,11,1952.7,
mp,rosaci,5,706.2,
mp,poptre,13,1914.4,
mp,acegla,3,1597.2,
mp,acegla,4,1717.7,
mp,acegla,5,1783.8,
mp,popbal,6,1464.1,
mp,popbal,10,1743.4,
mp,popbal,11,1809.3,
mp,popbal,12,1290,
mp,popbal,15,1987.6,
mp,rubspe,3,703.7,
mp,rubspe,4,875,
mp,rubspe,8,589.9,
mp,samrac,8,826.1,
mp,samrac,11,473.1,
mp,vacmem,3,1133.6,
mp,vacmem,4,1218.3,
mp,vacmem,5,1913.8,
mp,vacmem,5_02,1731.6,
mp,vacmem,9,654.5,
mp,vacmem,11,1188.2,
mp,vacmem,12,2093.7,
mp,spipyr,1,538.5,
mp,spipyr,2,606.8,
mp,spipyr,3,1384.4,
mp,spipyr,4,532.8,
mp,spipyr,5,657.9,
mp,spipyr,6,865.3,
mp,spipyr,7,556.9,
mp,spipyr,8,805.5,
mp,spipyr,9,1404.5,
mp,spipyr,10,1537.5,
mp,vibedu,2,1004.6,
mp,vibedu,4,1302.9,
mp,vibedu,5,1353,
mp,vibedu,7,1539.2,
mp,vibedu,8,1515.8,
mp,vibedu,9,1823.3,
mp,vibedu,10,1260.5,
mp,vibedu,12,598.2,
mp,vibedu,13,10872,
mp,vibedu,14,999.1,
mp,spibet,2,288,
af,alninc,11,944.2,
af,alninc,12,1338.1,
af,alninc,13,117.2,is this value accurate?
af,alnvir,11,1307.1,
af,alnvir,12,1468.6,
af,alnvir,13,920.9,
af,alnvir,14,1334.3,
af,acegla,1,1337.4,
af,corsto,7,918.5,
af,corsto,8,1093.7,
af,corsto,9,1074.8,
af,corsto,11,1121.1,
af,amealn,10,1717.1,
af,amealn,12,2222.8,
af,spidou,3,1123.2,
af,spidou,11,1096.9,
af,spidou,12,1520.4,
af,riblac,2,1226.6,
af,riblac,20,1163.8,
af,riblac,1,770.8,
af,alninc,1,1901.8,
af,alninc,10,1851.3,
af,alninc,20,1690.6,
af,acegla,3,1820.6,
af,acegla,10,1428,
af,amealn,1,1292.3,
af,amealn,2,2589.1,
af,amealn,3,1294.7,
af,amealn,5,1872.7,
af,acegla,5,1613.7,
af,corsto,3,1606.9,
af,poptre,8,1873.6,
af,rubspe,10,293.7,
af,spibet,1,493.4,
af,spibet,20,482.8,
af,spipyr,1,425.4,
af,spipyr,18,808.1,
af,spipyr,19,1021.2,
af,spidou,1,1027.4,
af,spidou,2,876.2,
af,spidou,19,896.1,
af,spidou,20,887.3,
af,rubpar,2,843.7,
af,rosaci,1,1193.5,
af,shecan,2,1101.5,
af,shecan,3,1204,
af,symalb,1,1363.5,
af,symalb,2,1455.7,
af,vacmem,1,985.9,
af,vacmem,20,1225.3,
af,sorsco,3,1189.4,
af,vibedu,1,1777.9,
af,vibedu,3,1039.4,
af,vibedu,3_02,872.5,
af,loninv,3,1521.3,
af,loninv,1,1222.3,
sm,alninc,3,2297.8,
sm,alninc,2,2328.9,
sm,alnvir,1,1506.7,
sm,alnvir,2,1640.9,
sm,alnvir,2_02,1216.1,
sm,alnvir,6,1024.4,
sm,alnvir,7,1390.3,
sm,alnvir,8,771.2,
sm,alnvir,8_02,1051.6,
sm,alnvir,9,1153.4,
sm,alnvir,10,1245.1,
sm,amealn,1,1572.8,
sm,amealn,2,1383.6,
sm,amealn,3,741.6,
sm,amealn,4,1619.2,
sm,amealn,5,1857.9,
sm,amealn,6,1256.3,
sm,amealn,7,1429.5,
sm,amealn,8,1741.3,
sm,amealn,9,2502.8,
sm,amealn,10,1965,
sm,acegla,2,2745.6,
sm,acegla,3,1386.7,
sm,acegla,7,1650.3,
sm,acegla,8,1158.9,
sm,acegla,9,4538.9,
sm,acegla,10,2287.5,
sm,acegla,11,2233.5,
sm,acegla,13,1808.8,
sm,alnvir,1,1128.2,
sm,alninc,1,920.2,
sm,betpap,1,1421.1,
sm,betpap,4,1922.1,
sm,betpap,5,1541,
sm,betpap,7,1695.1,
sm,corsto,11,1642.1,
sm,loninv,3,1130.5,
sm,loninv,4,1027.4,
sm,popbal,5,1372,
sm,riblac,2,1029.2,
sm,riblac,3,1312.3,
sm,riblac,5,766.8,
sm,riblac,6,1061,
sm,riblac,7,546.4,
sm,riblac,9,1012.7,
sm,vibedu,9,3241.2,
