"sample","species","site","no","vol","stem.weight","ssd"
"sm_rubpar_2","rubpar","sm","2",1.54,306.9,199.285714285714
"af_rubpar_3","rubpar","af","3",3.81,1067.7,280.236220472441
"kl_rubpar_3","rubpar","kl","3",3.89,1303.3,335.038560411311
"mp_rubpar_3","rubpar","mp","3",2.08,396.1,190.432692307692
"sm_rubpar_3","rubpar","sm","3",2.31,599.9,259.69696969697
"af_rubpar_4","rubpar","af","4",2.67,730.3,273.520599250936
"kl_rubpar_4","rubpar","kl","4",2.96,1147.1,387.533783783784
"mp_rubpar_4","rubpar","mp","4",1.83,499.5,272.950819672131
"sm_rubpar_4","rubpar","sm","4",2.04,554.7,271.911764705882
"af_rubpar_5","rubpar","af","5",1.76,515.2,292.727272727273
"mp_rubpar_5","rubpar","mp","5",2.45,874.1,356.775510204082
"sm_rubpar_5","rubpar","sm","5",3.43,1014.9,295.889212827988
"af_rubpar_6","rubpar","af","6",2.16,615.2,284.814814814815
"kl_rubpar_6","rubpar","kl","6",2.8,924.7,330.25
"mp_rubpar_6","rubpar","mp","6",3.32,1031.7,310.753012048193
"sm_rubpar_6","rubpar","sm","6",2.55,831.3,326
"kl_rubpar_7","rubpar","kl","7",3.55,1275.7,359.352112676056
"mp_rubpar_7","rubpar","mp","7",2.37,735.4,310.295358649789
"sm_rubpar_7","rubpar","sm","7",4.09,1194.9,292.151589242054
"kl_rubpar_8","rubpar","kl","8",3.03,820,270.627062706271
"mp_rubpar_8","rubpar","mp","8",2.89,920.6,318.546712802768
"sm_rubpar_8","rubpar","sm","8",1.72,447.8,260.348837209302
"af_rubpar_9","rubpar","af","9",1.42,609.1,428.943661971831
"kl_rubpar_9","rubpar","kl","9",2.36,884.3,374.703389830508
"mp_rubpar_9","rubpar","mp","9",2.8,697.2,249
"sm_rubpar_9","rubpar","sm","9",2.67,689.1,258.089887640449
"af_samrac_1","samrac","af","1",5.29,1764,333.459357277883
"kl_samrac_1","samrac","kl","1",3.84,1059,275.78125
"mp_samrac_1","samrac","mp","1",4.13,1440.6,348.813559322034
"af_samrac_10","samrac","af","10",4.43,1451,327.539503386005
"kl_samrac_10","samrac","kl","10",4.61,NA,NA
"mp_samrac_10","samrac","mp","10",3.62,453.7,125.331491712707
"sm_samrac_10","samrac","sm","10",3.64,696.9,191.456043956044
"mp_samrac_11","samrac","mp","11",2.72,473.1,173.933823529412
"sm_samrac_11","samrac","sm","11",3.42,852.8,249.356725146199
"af_samrac_12","samrac","af","12",4.67,1108.8,237.430406852248
"af_samrac_13","samrac","af","13",3.45,891.2,258.31884057971
"kl_samrac_2","samrac","kl","2",3.1,714.8,230.58064516129
"kl_samrac_2","samrac","kl","2",3.1,1701.8,548.967741935484
"mp_samrac_2","samrac","mp","2",3.54,623.1,176.016949152542
"sm_samrac_2","samrac","sm","2",2.74,714.3,260.693430656934
"af_samrac_3","samrac","af","3",5.86,1698.3,289.81228668942
"kl_samrac_3","samrac","kl","3",3.8,1416.4,372.736842105263
"kl_samrac_3","samrac","kl","3",3.8,718.8,189.157894736842
"mp_samrac_3","samrac","mp","3",3.6,811.8,225.5
"sm_samrac_3","samrac","sm","3",1.73,351.5,203.179190751445
"af_samrac_4","samrac","af","4",3.86,1087.9,281.839378238342
"kl_samrac_4","samrac","kl","4",4.33,1351.7,312.170900692841
"mp_samrac_4","samrac","mp","4",2.41,533.1,221.203319502075
"sm_samrac_4","samrac","sm","4",3.34,886,265.269461077844
"af_samrac_5","samrac","af","5",2.99,759,253.846153846154
"kl_samrac_5","samrac","kl","5",4.4,786.6,178.772727272727
"mp_samrac_5","samrac","mp","5",2.8,574.3,205.107142857143
"sm_samrac_5","samrac","sm","5",2.51,545.1,217.171314741036
"af_samrac_6","samrac","af","6",3.16,888,281.012658227848
"kl_samrac_6","samrac","kl","6",4.01,1287.4,321.047381546135
"kl_samrac_6","samrac","kl","6",4.01,1259.4,314.064837905237
"mp_samrac_6","samrac","mp","6",4.47,851.9,190.581655480984
"sm_samrac_6","samrac","sm","6",2.29,627.8,274.14847161572
"af_samrac_7","samrac","af","7",4.06,813.2,200.295566502463
"kl_samrac_7","samrac","kl","7",3.77,1031,273.474801061008
"mp_samrac_7","samrac","mp","7",3.5,809.4,231.257142857143
"sm_samrac_7","samrac","sm","7",2.28,513,225
"kl_samrac_8","samrac","kl","8",4.75,NA,NA
"mp_samrac_8","samrac","mp","8",3.09,826.1,267.346278317152
"sm_samrac_8","samrac","sm","8",2.4,791.2,329.666666666667
"af_samrac_9","samrac","af","9",5.4,1349.5,249.907407407407
"kl_samrac_9","samrac","kl","9",4.09,NA,NA
"mp_samrac_9","samrac","mp","9",3.06,665.3,217.418300653595
"sm_samrac_9","samrac","sm","9",2.9,710.5,245
"af_shecan_1","shecan","af","1",2.71,1524.2,562.435424354244
"kl_shecan_1","shecan","kl","1",1.91,1007.9,527.696335078534
"sm_shecan_1","shecan","sm","1",1.65,900.2,545.575757575758
"af_shecan_10","shecan","af","10",2.95,1459.8,494.847457627119
"mp_shecan_10","shecan","mp","10",3.62,1897.4,524.14364640884
"sm_shecan_10","shecan","sm","10",2.56,1152.6,450.234375
"mp_shecan_11","shecan","mp","11",4.1,1952.7,476.268292682927
"sm_shecan_11","shecan","sm","11",1.61,850.9,528.509316770186
"sm_shecan_12","shecan","sm","12",2.54,1432.1,563.818897637795
"sm_shecan_16","shecan","sm","16",1.65,753.4,456.606060606061
"af_shecan_2","shecan","af","2",2.19,1101.5,502.96803652968
"kl_shecan_2","shecan","kl","2",2.67,1445.9,541.535580524345
"mp_shecan_2","shecan","mp","2",2.6,1221.3,469.730769230769
"af_shecan_3","shecan","af","3",2.58,1204,466.666666666667
"kl_shecan_3","shecan","kl","3",3.07,1626.7,529.869706840391
"mp_shecan_3","shecan","mp","3",3.87,2080.4,537.571059431525
"af_shecan_4","shecan","af","4",3.34,1533,458.982035928144
"kl_shecan_4","shecan","kl","4",2.53,1476.6,583.636363636364
"mp_shecan_4","shecan","mp","4",3.33,1494.5,448.798798798799
"kl_shecan_4_02","shecan","kl","4_02",2.43,1366,562.139917695473
"af_shecan_5","shecan","af","5",4.07,2225.7,546.855036855037
"kl_shecan_5","shecan","kl","5",2.44,1318.1,540.204918032787
"mp_shecan_5","shecan","mp","5",3.44,1721.3,500.377906976744
"sm_shecan_5","shecan","sm","5",2.15,1109.5,516.046511627907
"af_shecan_6","shecan","af","6",3.3,1832.8,555.393939393939
"kl_shecan_6","shecan","kl","6",3.07,1490.7,485.57003257329
"mp_shecan_6","shecan","mp","6",2.61,1192.5,456.896551724138
"sm_shecan_6","shecan","sm","6",3.04,1685.6,554.473684210526
"af_shecan_7","shecan","af","7",3.33,1635.9,491.261261261261
"kl_shecan_7","shecan","kl","7",2.71,1291.3,476.494464944649
"mp_shecan_7","shecan","mp","7",3.44,1720,500
"sm_shecan_7","shecan","sm","7",2.6,1191.4,458.230769230769
"af_shecan_8","shecan","af","8",3.71,1777.7,479.164420485175
"kl_shecan_8","shecan","kl","8",3.7,1733.7,468.567567567568
"mp_shecan_8","shecan","mp","8",4.27,2408.9,564.145199063232
"sm_shecan_8","shecan","sm","8",2.53,1363.9,539.090909090909
"af_shecan_9","shecan","af","9",2.8,1407.9,502.821428571429
"kl_shecan_9","shecan","kl","9",1.67,927.4,555.329341317365
"mp_shecan_9","shecan","mp","9",3.77,1774.7,470.742705570292
"sm_shecan_9","shecan","sm","9",2.64,1288.5,488.068181818182
