sample,site,species,no.x,vol,stem.weight,ssd,Weight..mg.,per.N,per.C,C.N,type,ht,dbh,dbh2,dbh3,no.y,lma
af_alninc_5,af,alninc,5,2.79,1079.7,386.9892473,4.45,3.3,48.8,15,shrub,5.48,2.655,4.354,NA,5,5.339741563
af_alninc_6,af,alninc,6,3.57,1831.74,513.092437,3.53,3,47.7,15.9,shrub,6.77,7.8,8.9,7.2,6,5.731687152
af_alninc_7,af,alninc,7,3.27,1427.25,436.4678899,4.57,3.1,48.9,15.9,shrub,5.35,4.2,5.5,4.3,7,4.532239089
af_alninc_9,af,alninc,9,2.61,1326.7,508.3141762,4.63,2.9,48.8,16.8,shrub,4.8,4.7,NA,NA,9,9.890934925
af_alnvir_1,af,alnvir,1,3.3,1411,427.5757576,4.01,2.5,48.2,19.6,shrub,2.33,0.816,1.525,NA,1,6.542369387
af_alnvir_11,af,alnvir,11,2.99,1307.1,437.1571906,4.02,2.4,49.4,20.7,shrub,3.49,1.924,1.328,0.865,11,7.535953506
af_alnvir_12,af,alnvir,12,3.42,1468.6,429.4152047,4.72,2.4,48.9,20.8,shrub,3.4,1.409,1.232,1.17,12,7.085950646
af_alnvir_13,af,alnvir,13,2.25,920.9,409.2888889,4.49,2.4,48.5,20.6,shrub,2.76,1.928,1.953,3.163,13,6.857589163
af_alnvir_14,af,alnvir,14,2.98,1334.3,447.7516779,3.74,2.6,48,18.6,shrub,3.96,2.588,1.821,1.764,14,8.749865526
af_alnvir_2,af,alnvir,2,3.69,1483,401.897019,4.28,2.3,48.3,20.8,shrub,3.11,1.509,1.382,1.231,2,7.346639454
af_alnvir_20,af,alnvir,20,3.3,1449.2,439.1515152,4.39,3.3,47.7,14.4,shrub,4.39,4,5.2,4.5,20,4.387481485
af_alnvir_3,af,alnvir,3,2.97,1220.4,410.9090909,3.76,2,51.2,25.8,shrub,3.38,1.692,2.055,1.509,3,8.140075493
af_alnvir_4,af,alnvir,4,3.05,1440.8,472.3934426,4.67,2.5,49.4,19.4,shrub,3.33,1.317,1.24,1.42,4,5.751379255
af_alnvir_5,af,alnvir,5,3.01,1262.5,419.4352159,3.8,2.8,49.1,17.8,shrub,2.18,1.294,0.915,0.888,5,6.532371553
af_amealn_1,af,amealn,1,2.34,1292.3,552.2649573,3.63,3.4,45.4,13.2,shrub,1.81,1.588,1.312,1.13,1,5.786466653
af_amealn_10,af,amealn,10,2.65,1717.1,647.9622642,3.61,1.9,47.1,24.7,shrub,1.98,1.095,NA,NA,10,2.736211351
af_amealn_12,af,amealn,12,3.61,2222.8,615.734072,3.77,2.3,45.4,20.1,shrub,3.64,1.002,NA,NA,12,2.520428813
af_amealn_2,af,amealn,2,5.06,2589.1,511.6798419,4.12,3.6,47,13.1,shrub,1.58,1.183,NA,NA,2,5.955222125
af_amealn_3,af,amealn,3,2.38,1294.7,543.9915966,4.14,3.4,47.3,13.9,shrub,2.34,1.986,NA,NA,3,4.012059945
af_amealn_5,af,amealn,5,3.23,1872.7,579.7832817,4.14,2.7,47.2,17.2,shrub,2.1,2.357,NA,NA,5,7.073031821
af_amealn_6,af,amealn,6,2.73,1403,513.9194139,3.63,2.3,50.4,22.2,shrub,2.75,1.536,NA,NA,6,7.85519748
af_amealn_7,af,amealn,7,4.13,2130,515.7384988,4.63,2,48.3,24.4,shrub,2.43,1.432,1.036,NA,7,7.30724095
af_amealn_8,af,amealn,8,3.39,1819.9,536.8436578,3.94,2.4,48.1,20,shrub,2.05,1.238,1.387,1.034,8,5.100264149
