sample,site,species,no.x,vol,stem.weight,ssd,Weight..mg.,per.N,per.C,C.N,type,ht,dbh,dbh2,dbh3,no.y,lma
af_vibedu_12,af,vibedu,12,2.4,1003.3,418.0416667,4.69,2.6,44.7,17.1,shrub,1.51,1.345,NA,NA,12,3.661814515
af_vibedu_2,af,vibedu,2,3.15,1590.3,504.8571429,4.5,1.8,45.4,25.6,shrub,0.75,0.822,NA,NA,2,4.497144284
af_vibedu_3,af,vibedu,3,2.83,1039.4,367.2791519,4.81,2.8,44.2,15.9,shrub,1.12,0.744,NA,NA,3,2.97951189
af_vibedu_4,af,vibedu,4,1.91,883,462.3036649,4.26,1.6,46.1,28.7,shrub,0.8,1.085,NA,NA,4,6.691887205
af_vibedu_5,af,vibedu,5,3.61,1773.8,491.3573407,1.06,8.6,169.2,19.6,shrub,1.36,1.067,NA,NA,5,4.871234459
af_vibedu_6,af,vibedu,6,2.57,1206.6,469.4941634,4.81,1.7,45.8,27.2,shrub,2.17,1.392,NA,NA,6,4.75798077
af_vibedu_7,af,vibedu,7,1.8,726,403.3333333,3.77,2,45.3,23.3,shrub,1.18,0.856,NA,NA,7,3.999915784
af_vibedu_8,af,vibedu,8,2.73,1109.9,406.5567766,4.7,1.8,43.8,25.1,shrub,0.85,0.571,NA,NA,8,2.85684451
kl_acegla_1,kl,acegla,1,2.99,1675.9,560.5016722,3.67,3.1,46.7,15.2,tree,4.8,40.8,5.136,4.69,1,2.294947146
kl_acegla_10,kl,acegla,10,3.82,1603.5,419.7643979,4.72,2.2,46.5,21.1,tree,NA,10.6,NA,NA,10,5.242735871
kl_acegla_11,kl,acegla,11,2.47,1308.1,529.5951417,3.89,2.8,46,16.3,tree,8.62,5.3,3.4,2.2,11,3.553449111
kl_acegla_3,kl,acegla,3,2.34,1319.6,563.9316239,4,2,44.7,22.8,tree,4.7,2.546,2.037,NA,3,2.809814646
kl_acegla_4,kl,acegla,4,3.3,1867.4,565.8787879,3.73,2.5,47,19.1,tree,5.09,13.1,NA,NA,4,2.96220677
kl_acegla_5,kl,acegla,5,3.26,1567.6,480.8588957,3.8,2.6,45.9,17.5,tree,10.7,9.6,6.9,NA,5,2.946448277
kl_acegla_6,kl,acegla,6,2.7,1489.3,551.5925926,4.17,1.8,46.7,26.2,tree,5.09,6.1,NA,NA,6,4.840916252
kl_acegla_7,kl,acegla,7,3.41,2004.5,587.829912,3.6,2.2,45.1,20.8,tree,11.87,6.5,8.4,8.1,7,3.587180424
kl_acegla_8,kl,acegla,8,3.15,1495.8,474.8571429,3.64,3.8,46.5,12.1,tree,7.8,6.143,8.48,7.224,8,2.497942163
kl_acegla_9,kl,acegla,9,3.04,1720.7,566.0197368,4.22,1.8,46.9,25.4,tree,5.09,4.034,NA,NA,9,4.376383589
kl_alninc_1,kl,alninc,1,3.54,1663,469.7740113,4.93,2.9,48.6,16.8,shrub,4.52,3.557,2.765,2.058,1,5.386248119
kl_alninc_2,kl,alninc,2,3.12,1359.1,435.6089744,3.8,3.2,47.1,14.9,shrub,4.8,3.575,4.041,3.482,2,4.29301144
kl_alninc_3,kl,alninc,3,3.14,1343.9,427.9936306,4.06,3.5,49.5,14.3,shrub,7.14,8.644,2.392,NA,3,2.748118829
kl_alninc_4,kl,alninc,4,3.31,1391.1,420.2719033,4,3.4,47.4,14.2,shrub,5.09,2.948,3.424,1.496,4,4.244780976
kl_alnvir_10,kl,alnvir,10,2.57,1393.4,542.1789883,4.89,3.3,47.1,14.1,shrub,4.81,4.339,4.582,3.381,10,3.604922337
kl_alnvir_11,kl,alnvir,11,2.58,1369.3,530.7364341,4.18,2.9,47.3,16.3,shrub,4.53,3.174,2.26,2.133,11,4.439693343
kl_alnvir_12,kl,alnvir,12,2.7,1308.1,484.4814815,4.06,2.7,47.1,17.7,shrub,8.7,2.825,2.24,2.688,12,6.529477862
kl_alnvir_2,kl,alnvir,2,2.98,1380,463.0872483,3.51,2.7,46.2,16.9,shrub,3.5,2.833,3.633,3.268,2,2.811437467
kl_alnvir_3,kl,alnvir,3,2.73,1409,516.1172161,3.9,2.5,47.5,18.9,shrub,3.6,1.582,1.764,1.861,3,5.123569242
kl_alnvir_5,kl,alnvir,5,3.41,1519,445.4545455,3.68,2.8,49,17.7,shrub,1.71,1.756,2,1.953,5,5.585834823
kl_alnvir_6,kl,alnvir,6,3.44,1386.6,403.0813953,4.21,3.3,48,14.4,shrub,1.75,2.288,1.396,1.929,6,5.897498097
kl_alnvir_7,kl,alnvir,7,2.54,1285.9,506.2598425,4.33,2.6,48,18.3,shrub,3.15,1.758,2.252,1.074,7,4.855215587
kl_alnvir_8,kl,alnvir,8,2.49,1424.6,572.1285141,3.65,2.7,48.7,18.2,shrub,3.07,1.828,1.296,1.464,8,5.019432295
kl_alnvir_9,kl,alnvir,9,3.9,1844.4,472.9230769,4.38,3.3,48.1,14.5,shrub,4.48,3.809,2.552,2.27,9,4.08981434
kl_amealn_1,kl,amealn,1,2.49,1458.6,585.7831325,3.74,3.3,46.1,14.2,shrub,3.57,3.137,1.981,0.922,1,3.297874554
kl_amealn_10,kl,amealn,10,2.56,1658.6,647.890625,4.38,2.6,46.6,18.2,shrub,2.13,2.259,NA,NA,10,6.18022332
kl_amealn_2,kl,amealn,2,2.51,1578.5,628.8844622,4.44,2.9,45.4,15.9,shrub,5.21,3.368,NA,NA,2,2.797933448
kl_amealn_3,kl,amealn,3,2.88,1842.8,639.8611111,4.4,2.2,46.1,20.8,shrub,5.3,3.835,NA,NA,3,4.451722049
kl_amealn_4,kl,amealn,4,3.68,2392.5,650.1358696,4.61,2.4,45.5,19,shrub,3.81,1.66,1.511,1.539,4,4.736738469
kl_amealn_5,kl,amealn,5,2.31,1422,615.5844156,4.52,2.7,46.4,16.9,shrub,2.34,1.48,NA,NA,5,5.543212109
kl_amealn_6,kl,amealn,6,2.64,1771.6,671.0606061,3.88,2.4,45.7,19.2,shrub,3.5,2.612,NA,NA,6,4.063313009
kl_amealn_7,kl,amealn,7,2.34,1595,681.6239316,3.55,2.4,45,18.8,shrub,2.86,1.931,NA,NA,7,3.036495603
kl_amealn_8,kl,amealn,8,3.38,2204,652.0710059,3.94,2.4,46,19.4,shrub,6.38,3.464,2.252,1.985,8,4.840140283
kl_amealn_9,kl,amealn,9,3.81,2359.4,619.2650919,4.16,2.4,46.2,19.5,shrub,2.18,2.062,NA,NA,9,5.505312469
kl_betpap_10,kl,betpap,10,3.87,2007.2,518.6563307,4.09,2.4,48.2,20.4,tree,12.06,13.3,NA,NA,10,7.305688807
kl_betpap_11,kl,betpap,11,3.38,1989.5,588.6094675,4.1,1.6,47,29,tree,11.28,8.2,NA,NA,11,6.100491227
kl_betpap_12,kl,betpap,12,3.25,1819.4,559.8153846,4.16,2.7,47.9,18.1,tree,7.8,10.4,NA,NA,12,5.045998684
kl_betpap_13,kl,betpap,13,3.87,2221.2,573.9534884,4.62,2,47.6,23.9,tree,18.83,30.3,NA,NA,13,4.97519335
kl_betpap_14,kl,betpap,14,3.81,2288.1,600.5511811,4.54,1.7,44.5,26,tree,14.33,23.3,18.6,NA,14,5.339133946
kl_betpap_3,kl,betpap,3,NA,NA,NA,3.75,2.5,47.9,19.3,NA,NA,NA,NA,NA,NA,NA
kl_betpap_5,kl,betpap,5,3.59,2197.2,612.0334262,4.64,1.7,46.3,26.9,tree,11.73,12.7,7.9,NA,5,6.219416374
kl_betpap_6,kl,betpap,6,2.27,1220,537.4449339,4.39,1.7,45.7,27.1,tree,10.48,9.8,NA,NA,6,5.445776219
kl_betpap_7,kl,betpap,7,3.78,2087.9,552.3544974,3.82,2,48.5,24.9,tree,13.48,11.9,NA,NA,7,6.517720046
kl_betpap_8,kl,betpap,8,4.3,2375,552.3255814,NA,NA,NA,NA,tree,11.28,15.5,NA,NA,8,5.556029583
kl_betpap_9,kl,betpap,9,3.37,1924.7,571.1275964,3.74,2.1,46.6,22.6,tree,13.52,17.1,14.9,9.9,9,3.928208242
kl_corsto_10,kl,corsto,10,2.67,1498.9,561.3857678,4.22,2.2,41.7,19.1,shrub,3.13,3.181,3.748,NA,10,4.973915081
kl_corsto_11,kl,corsto,11,2.04,1017.3,498.6764706,4.83,1.8,43.4,24.1,shrub,2.9,3.79,3.949,1.933,11,3.012943658
kl_corsto_12,kl,corsto,12,2.34,1216.6,519.9145299,NA,NA,NA,NA,shrub,3.34,2.696,NA,NA,NA,NA
kl_corsto_13,kl,corsto,13,3.22,1749.5,543.3229814,3.95,1.7,45.2,26.5,shrub,3.38,2.869,2.002,1.432,13,5.809567566
kl_corsto_2,kl,corsto,2,NA,NA,NA,4.03,1.6,46.3,28.9,NA,NA,NA,NA,NA,2,4.117514149
kl_corsto_3,kl,corsto,3,2.79,1367.9,490.2867384,4.1,1.6,43.3,26.4,shrub,3.52,3.183,2.246,2.11,3,3.741764168
kl_corsto_5,kl,corsto,5,3.47,1645.7,474.2651297,3.87,2,44.7,22,shrub,4.62,2.674,NA,NA,5,3.384769767
kl_corsto_6,kl,corsto,6,3.43,1773.7,517.1137026,3.66,1.8,44.6,24.7,shrub,4.81,3.2,NA,NA,6,5.025166952
kl_corsto_7,kl,corsto,7,3.46,1697.3,490.5491329,4.11,2.4,44.3,18.5,shrub,4.71,4.85,4.612,3.148,7,4.022503281
kl_corsto_8,kl,corsto,8,2.56,1309,511.328125,4.68,2.1,44,20.6,shrub,2.15,1.914,NA,NA,8,5.101446189
kl_corsto_9,kl,corsto,9,2.09,1095.5,524.1626794,4.08,2,44.2,22.6,shrub,2.76,2.39,NA,NA,9,4.68195569
kl_loninv_1,kl,loninv,1,3.35,1815.4,541.9104478,4.41,2.3,43.2,19.2,shrub,1.68,0.992,NA,NA,1,8.479284413
kl_loninv_10,kl,loninv,10,3.67,1825.5,497.4114441,3.54,2,45,22.7,shrub,2,1.889,2.225,1.602,10,3.997368224
kl_loninv_2,kl,loninv,2,3.39,1629.7,480.7374631,4.18,2.1,42.2,20,shrub,1.61,1.102,NA,NA,2,2.867558819
kl_loninv_3,kl,loninv,3,2.18,1454,666.9724771,NA,NA,NA,NA,shrub,2.05,1.256,0.968,NA,3,6.952631315
kl_loninv_4,kl,loninv,4,3.63,1713.5,472.0385675,4.18,1.9,44.5,23.3,shrub,1.39,1.225,NA,NA,4,3.390040015
kl_loninv_5,kl,loninv,5,2.92,1441.7,493.7328767,4.41,1.8,45.5,24.9,shrub,1.02,0.761,NA,NA,5,6.030546271
kl_loninv_6,kl,loninv,6,2.68,1256.4,468.8059701,4.78,1.7,43.8,26.3,shrub,1.3,1.494,NA,NA,6,5.461249186
kl_loninv_7,kl,loninv,7,2.44,1382.3,566.5163934,3.85,2.2,45.7,20.8,shrub,1.4,1.879,NA,NA,7,4.883615628
kl_loninv_8,kl,loninv,8,2.07,1177.3,568.7439614,4.01,3.2,46.4,14.6,shrub,1.66,2.07,1.954,2.223,8,4.480219432
kl_loninv_9,kl,loninv,9,1.98,698.2,352.6262626,4.1,2,44.2,22.4,shrub,1.68,1.234,1.177,0.975,9,4.685211703
kl_popbal_1,kl,popbal,1,3.77,1975.2,523.9257294,4.16,2.3,43,19.1,tree,10.48,14.7,NA,NA,1,4.394283343
kl_popbal_10,kl,popbal,10,3.1,1719,554.516129,4.02,1.5,44.5,29.8,tree,15.62,24,23.5,12.5,10,8.357234929
kl_popbal_11,kl,popbal,11,4.45,2374.2,533.5280899,3.86,1.6,43.3,26.9,tree,15.34,20.1,NA,NA,11,7.367159706
kl_popbal_3,kl,popbal,3,3.37,2126.8,631.0979228,NA,NA,NA,NA,tree,17.57,19.5,NA,NA,NA,NA
kl_popbal_4,kl,popbal,4,4.48,2329,519.8660714,3.94,2.2,45,20.3,tree,19.14,32.6,NA,NA,4,5.9299768
kl_popbal_5,kl,popbal,5,3.88,1986.1,511.8814433,4.24,2.3,43,19.1,tree,17.35,23.2,NA,NA,5,5.654179623
kl_popbal_6,kl,popbal,6,3.76,1897.2,504.5744681,4.1,1.6,45.2,27.5,tree,17.13,18.5,17.5,21.5,6,6.787206189
kl_popbal_7,kl,popbal,7,2.59,1763.7,680.965251,3.55,1.9,42.3,21.8,tree,17.13,25.8,NA,NA,7,4.90410606
kl_popbal_8,kl,popbal,8,4.19,2329.8,556.0381862,3.84,2.4,43.1,17.8,tree,15.08,20.5,NA,NA,8,5.116567132
kl_popbal_8_02,kl,popbal,8_02,NA,NA,NA,4.23,1.7,44.5,26.8,NA,NA,NA,NA,NA,8_02,5.553895427
kl_popbal_9,kl,popbal,9,3.08,1785.3,579.6428571,4.21,1.5,45.4,29.4,tree,6.38,7.2,NA,NA,9,6.833085764
kl_poptre_1,kl,poptre,1,4.07,2089.6,513.4152334,3.55,2.5,48.8,19.5,tree,5.78,2.85,NA,NA,1,4.614159154
kl_poptre_10,kl,poptre,10,3.59,2111.1,588.0501393,3.65,2.3,48.6,21.4,tree,14.71,20,NA,NA,NA,NA
kl_poptre_2,kl,poptre,2,3.66,1849.3,505.273224,3.79,2.6,46.6,18.1,tree,4.62,2.682,NA,NA,2,5.986592234
kl_poptre_3,kl,poptre,3,4.92,2619.2,532.3577236,4.87,2.2,47.5,21.8,tree,7.14,7.2,NA,NA,3,7.59956231
kl_poptre_4,kl,poptre,4,4,2128.2,532.05,3.51,2.5,48.2,19.3,tree,5.09,6.1,NA,NA,4,6.617126004
kl_poptre_5,kl,poptre,5,4.21,2462,584.7980998,3.59,2.1,47.7,22.4,tree,15.87,21.7,NA,NA,5,6.986924568
kl_poptre_6,kl,poptre,6,3.87,2071.9,535.374677,3.98,2,45.3,23,tree,8.62,9.9,NA,NA,6,6.623047345
kl_poptre_7,kl,poptre,7,3.68,1894.7,514.8641304,4.18,2.2,47.6,22.1,tree,10.14,11.8,NA,NA,7,5.841452465
kl_poptre_8,kl,poptre,8,3.51,2152.6,613.2763533,3.82,2.3,48.4,20.9,tree,12.66,13.3,NA,NA,8,7.397197269
kl_poptre_9,kl,poptre,9,3.97,2398.2,604.0806045,3.95,2.4,47.1,19.8,tree,10.42,8.8,NA,NA,NA,NA
kl_rhoalb_1,kl,rhoalb,1,2.52,975.3,387.0238095,4.33,2.5,44.2,17.6,shrub,1.02,1.76,NA,NA,1,2.579736405
kl_rhoalb_10,kl,rhoalb,10,4.02,1637.7,407.3880597,3.86,2.6,44.9,17.4,shrub,1.1,1.392,1.375,NA,10,2.8358489
kl_rhoalb_2,kl,rhoalb,2,2.71,950.1,350.5904059,3.87,3,45.6,15.5,shrub,1.32,1.639,1.279,1.587,2,3.442996635
kl_rhoalb_3,kl,rhoalb,3,3.22,1130.4,351.0559006,4.15,2,45.7,23.2,shrub,1.1,1.228,1.447,1.453,3,4.816820994
kl_rhoalb_4,kl,rhoalb,4,3.48,1411.1,405.4885057,3.96,2,45.7,22.9,shrub,1.33,1.288,1.649,1.187,4,3.951082411
kl_rhoalb_5,kl,rhoalb,5,2.76,1048.4,379.8550725,4.2,2.5,44,17.5,shrub,1.91,1.643,0.999,NA,5,1.924977873
kl_rhoalb_6,kl,rhoalb,6,2.54,953.5,375.3937008,4.12,2.7,45.6,16.6,shrub,2.01,1.744,1.433,0.75,6,1.977400534
kl_rhoalb_7,kl,rhoalb,7,3.05,1125.3,368.9508197,4.2,2.1,43.7,20.4,shrub,1.82,1.742,1.296,1.212,7,2.417512884
kl_rhoalb_8,kl,rhoalb,8,3.15,1302.5,413.4920635,3.88,2.6,44.8,17.5,shrub,1.21,0.985,NA,NA,8,2.919419736
kl_rhoalb_9,kl,rhoalb,9,2.61,984.9,377.3563218,3.67,2.5,46.5,18.4,shrub,1.66,1.901,NA,NA,9,3.213129603
kl_riblac_1,kl,riblac,1,1.23,643.2,522.9268293,3.73,3.3,41,12.5,shrub,1.52,0.648,0.62,NA,1,1.669381776
kl_riblac_10,kl,riblac,10,1.99,1072.8,539.0954774,4.32,2.1,42.1,20.5,shrub,0.5,0.471,NA,NA,10,3.672413281
kl_riblac_11,kl,riblac,11,1.57,1094.5,697.133758,3.59,1.6,44.7,27.8,shrub,1.21,0.742,NA,NA,11,4.460610015
kl_riblac_12,kl,riblac,12,2.1,1170.7,557.4761905,4.14,3.1,42.3,13.9,shrub,1.07,0.655,0.69,NA,12,2.025637644
kl_riblac_13,kl,riblac,13,2.49,1382.6,555.2610442,4.79,3.3,42.2,13,shrub,1.3,0.743,NA,NA,13,2.550063709
kl_riblac_2,kl,riblac,2,1.74,948.3,545,4.22,2.4,41.6,17.4,shrub,1.4,0.592,NA,NA,2,3.757933003
kl_riblac_3,kl,riblac,3,1.59,905.1,569.245283,4.84,2.9,42.7,14.8,shrub,1.22,0.849,NA,NA,3,3.019284301
kl_riblac_7,kl,riblac,7,1.14,565.2,495.7894737,4.44,1.8,40.2,22.8,shrub,0.54,0.337,0.377,NA,7,3.046785299
kl_riblac_8,kl,riblac,8,1.77,1130.7,638.8135593,4.5,1.5,40.9,27.3,shrub,0.86,0.728,NA,NA,8,3.526079966
kl_riblac_9,kl,riblac,9,2.24,1314.7,586.9196429,4.79,1.8,40,21.9,shrub,0.55,0.565,2.422,NA,9,3.790908444
kl_rubpar_1,kl,rubpar,1,2.47,819.7,331.8623482,4.26,2.4,42.5,17.6,shrub,1.09,0.574,0.765,NA,1,2.379678
kl_rubpar_10,kl,rubpar,10,3.7,1459,394.3243243,4.81,2.5,44.6,17.8,shrub,0.98,0.802,0.856,NA,10,3.098625136
kl_rubpar_11,kl,rubpar,11,3.2,1156.3,361.34375,4.68,2.8,43.9,15.4,shrub,0.91,0.727,NA,NA,11,3.235154622
kl_rubpar_12,kl,rubpar,12,2.96,1256.2,424.3918919,4.9,1.8,42.6,23.2,shrub,0.91,0.616,NA,NA,12,3.944655665
kl_rubpar_3,kl,rubpar,3,3.89,1303.3,335.0385604,3.8,2.4,45.3,19.3,shrub,1.29,0.731,NA,NA,3,3.439676184
kl_rubpar_4,kl,rubpar,4,2.96,1147.1,387.5337838,4.33,1.7,42.5,25.1,shrub,0.96,0.69,NA,NA,4,3.133230985
kl_rubpar_6,kl,rubpar,6,2.8,924.7,330.25,3.7,2.1,44.4,21.3,shrub,0.72,0.761,NA,NA,6,3.170050753
kl_rubpar_7,kl,rubpar,7,3.55,1275.7,359.3521127,4.07,2.3,44,19.3,shrub,0.68,0.718,NA,NA,7,3.070689548
kl_rubpar_8,kl,rubpar,8,3.03,820,270.6270627,4.23,1.7,43.2,25,shrub,0.84,0.725,NA,NA,8,3.742556075
kl_rubpar_9,kl,rubpar,9,2.36,884.3,374.7033898,4.04,1.9,42.3,21.8,shrub,0.68,0.655,NA,NA,9,3.287864523
kl_samrac_1,kl,samrac,1,3.84,1059,275.78125,4.08,4.4,48.7,11.1,shrub,1.22,1.469,1.219,1.45,1,3.428377211
kl_samrac_10,kl,samrac,10,4.61,1416.4,307.2451193,3.8,4.4,44.4,10.1,shrub,2.18,2.964,2.145,NA,10,2.458349803
kl_samrac_2,kl,samrac,2,3.1,714.8,230.5806452,4.08,3.3,45,13.8,shrub,2.11,2.409,1.693,2.422,2,2.916403506
kl_samrac_3,kl,samrac,3,3.8,718.8,189.1578947,4.44,4.5,45.5,10.2,shrub,1.95,7.269,NA,NA,3,3.216181888
kl_samrac_4,kl,samrac,4,4.33,1351.7,312.1709007,4.5,4.6,46,10,shrub,1.48,1.575,1.62,1.622,4,3.278328333
kl_samrac_5,kl,samrac,5,4.4,786.6,178.7727273,3.57,6.1,47.3,7.7,shrub,1.6,1.602,2.46,1.759,NA,NA
kl_samrac_6,kl,samrac,6,4.01,1259.4,314.0648379,4.31,3.3,45.5,14,shrub,1.03,1.144,1.027,0.97,6,3.505030014
kl_samrac_7,kl,samrac,7,3.77,1031,273.4748011,4.08,3.1,43.3,13.8,shrub,1.96,2.126,1.138,1.999,7,3.57910511
kl_samrac_8,kl,samrac,8,4.75,1287.4,271.0315789,3.94,4.4,42.5,9.7,shrub,2.24,2.261,2.078,2.694,8,2.909781925
kl_samrac_9,kl,samrac,9,4.09,1701.8,416.0880196,4.23,5.2,45,8.6,shrub,2.11,2.237,2.134,2.128,9,1.967773668
kl_shecan_1,kl,shecan,1,1.91,1007.9,527.6963351,4.38,3.4,47.7,14,shrub,1.48,1.45,NA,NA,1,4.595778816
kl_shecan_2,kl,shecan,2,2.67,1445.9,541.5355805,4.18,3.5,46.2,13.1,shrub,2,3.187,NA,NA,2,4.033133955
kl_shecan_3,kl,shecan,3,3.07,1626.7,529.8697068,4,2.9,42.8,14.7,shrub,2.24,3.704,2.646,NA,3,4.067507346
kl_shecan_4,kl,shecan,4,2.53,1476.6,583.6363636,3.75,2.8,43.3,15.5,shrub,1.71,1.904,1.25,1.185,4,5.274935568
kl_shecan_4_02,kl,shecan,4_02,2.43,1366,562.1399177,4.13,3.2,43.7,13.9,shrub,1.68,3.679,NA,NA,4_02,5.082482485
kl_shecan_5,kl,shecan,5,2.44,1318.1,540.204918,3.64,3.4,48.6,14.5,shrub,2.19,3.985,NA,NA,5,4.719045773
kl_shecan_6,kl,shecan,6,3.07,1490.7,485.5700326,4.75,2.8,43.1,15.6,shrub,1.59,1.401,2.031,2.819,6,6.573717979
kl_shecan_7,kl,shecan,7,2.71,1291.3,476.4944649,4.84,3.2,42.5,13.4,shrub,1.63,2.391,1.753,1.825,7,4.483013437
kl_shecan_8,kl,shecan,8,3.7,1733.7,468.5675676,4.63,2.6,42.4,16.1,shrub,2.04,4.577,NA,NA,8,5.902713716
kl_shecan_9,kl,shecan,9,1.67,927.4,555.3293413,3.76,2.8,43,15.1,shrub,2.37,5.292,NA,NA,NA,NA
kl_sorsco_1,kl,sorsco,1,2.43,1358.6,559.0946502,3.91,1.9,43.5,23.3,shrub,1.76,1.612,NA,NA,1,3.861414494
kl_sorsco_1,kl,sorsco,1,2.43,1403.2,577.4485597,3.91,1.9,43.5,23.3,shrub,1.76,1.612,NA,NA,1,3.861414494
kl_sorsco_10,kl,sorsco,10,3.23,1854.9,574.2724458,3.86,1.8,45.1,24.7,shrub,5.48,2.624,NA,NA,10,3.041509335
kl_sorsco_2,kl,sorsco,2,2.98,1597.8,536.1744966,4.12,2.2,41.8,18.9,shrub,3.82,2.8,NA,NA,2,4.292642314
kl_sorsco_3,kl,sorsco,3,3.17,1644.2,518.6750789,4.14,1.9,42.1,22.4,shrub,2.12,1.456,1.168,0.798,3,3.496084476
kl_sorsco_4,kl,sorsco,4,2.8,1416.4,505.8571429,4.36,1.9,43.9,22.9,shrub,7.48,3.71,NA,NA,4,5.60199079
kl_sorsco_5,kl,sorsco,5,2.47,1242,502.8340081,3.6,2.2,41.7,18.7,shrub,2.51,2.502,NA,NA,5,4.291207048
kl_sorsco_6,kl,sorsco,6,2.99,1403.2,469.2976589,4.34,2.3,42.8,18.4,shrub,2.08,2.564,NA,NA,6,4.999930891
kl_sorsco_7,kl,sorsco,7,3.47,NA,NA,3.66,3.2,44.5,13.7,shrub,2.72,2.247,2.322,2.354,7,4.525192256
kl_sorsco_8,kl,sorsco,8,3.33,1546.3,464.3543544,4.31,2.9,44,15.1,shrub,4.8,4.465,3.745,1.245,8,2.581844151
kl_sorsco_9,kl,sorsco,9,3.11,1552.5,499.1961415,3.74,3.2,44.7,14,shrub,3.37,2.591,NA,NA,9,3.936753366
kl_spibet_10,kl,spibet,10,1.11,633.5,570.7207207,4.94,1.9,45.9,24.3,shrub,0.7,0.51,NA,NA,10,2.687112044
kl_spibet_11,kl,spibet,11,1.21,633.8,523.8016529,3.71,1.9,46.2,24.1,shrub,0.76,4.71,NA,NA,11,3.647226888
kl_spibet_12,kl,spibet,12,0.97,536.2,552.7835052,3.88,1.7,49.6,29.5,shrub,0.63,0.33,NA,NA,12,2.961298334
kl_spibet_3,kl,spibet,3,1.5,742.2,494.8,3.7,1.7,46.3,27.6,shrub,0.58,0.443,NA,NA,3,3.058548799
kl_spibet_4,kl,spibet,4,0.72,352.4,489.4444444,4.52,1.3,47.7,38.3,shrub,0.4,0.316,NA,NA,4,3.576687284
kl_spibet_5,kl,spibet,5,2.01,1012.5,503.7313433,4.69,1.7,47.1,28,shrub,0.72,0.577,NA,NA,5,4.019414328
kl_spibet_6,kl,spibet,6,1.11,486,437.8378378,4.05,1.7,46.1,27.8,shrub,0.54,0.356,NA,NA,6,3.696724102
kl_spibet_7,kl,spibet,7,0.99,450.9,455.4545455,3.78,1.3,46,35.8,shrub,0.58,0.335,1.229,NA,7,4.830397518
kl_spibet_8,kl,spibet,8,1.05,559,532.3809524,3.83,1.8,46.8,25.4,shrub,0.66,0.398,NA,NA,8,3.563021741
kl_spibet_9,kl,spibet,9,0.72,309.2,429.4444444,4.87,1.7,46.4,26.7,shrub,0.55,0.292,NA,NA,NA,NA
kl_symalb_1,kl,symalb,1,1.28,828.9,647.578125,3.61,2,45.8,22.4,shrub,1.43,1.003,0.917,0.985,1,4.024277144
kl_symalb_10,kl,symalb,10,1.05,723.5,689.047619,3.69,2,44.6,22.2,shrub,1.28,0.961,0.93,NA,10,4.149647981
kl_symalb_11,kl,symalb,11,1.21,816.7,674.9586777,3.75,2.1,45.6,21.4,shrub,0.82,0.666,NA,NA,11,4.57453275
kl_symalb_12,kl,symalb,12,1.59,985.6,619.8742138,3.71,1.7,43.7,26.4,shrub,0.79,0.411,NA,NA,12,5.351252002
kl_symalb_2,kl,symalb,2,1.48,778.3,525.8783784,3.67,1.8,44.3,24.9,shrub,1.22,0.837,NA,NA,2,3.372900478
kl_symalb_2_02,kl,symalb,2_02,1.82,1130,620.8791209,4.73,1.9,44.8,23.1,shrub,1.66,1.036,1.069,NA,02_02,4.676445693
kl_symalb_3,kl,symalb,3,2.61,1520.7,582.6436782,4.06,2.2,53.8,24.5,shrub,0.67,0.6,NA,NA,3,4.475862039
kl_symalb_7,kl,symalb,7,2.26,1345.8,595.4867257,4.42,2.2,43,19.8,shrub,0.76,0.566,NA,NA,7,2.542052229
kl_symalb_8,kl,symalb,8,2.1,1070.8,509.9047619,3.88,2.2,44.3,20.6,shrub,1.36,1.033,NA,NA,8,4.273210261
kl_symalb_9,kl,symalb,9,2.75,1539.7,559.8909091,3.66,1.9,43.3,22.9,shrub,0.91,0.842,NA,NA,9,3.586173251
kl_vacmem_1,kl,vacmem,1,1.44,829.23,575.8541667,4.25,1.6,43.1,26.7,shrub,0.66,1.187,NA,NA,1,5.403409851
kl_vacmem_10,kl,vacmem,10,2.56,1467.1,573.0859375,3.61,2.2,45.9,21.1,shrub,0.61,0.777,NA,NA,10,3.43983973
kl_vacmem_11,kl,vacmem,11,2.22,1297.9,584.6396396,4.02,2.1,44.7,21.5,shrub,0.42,0.625,NA,NA,11,2.360802238
kl_vacmem_2,kl,vacmem,2,1.82,996.5,547.5274725,4.14,1.7,45,26.6,shrub,0.92,1.558,NA,NA,2,4.571084032
kl_vacmem_3,kl,vacmem,3,2.67,1427.8,534.7565543,4.79,2.2,44,20.3,shrub,0.91,1.387,NA,NA,3,4.133180571
kl_vacmem_4,kl,vacmem,4,2.77,1609.4,581.0108303,3.76,2.7,42.8,16.1,shrub,0.8,1.102,NA,NA,4,3.29995099
kl_vacmem_5,kl,vacmem,5,1.76,977.6,555.4545455,3.82,2.2,44.6,20.3,shrub,0.79,0.764,NA,NA,5,2.557093782
kl_vacmem_6,kl,vacmem,6,1.82,1068.4,587.032967,4.37,2.2,45.9,20.5,shrub,0.8,1.087,NA,NA,6,3.236300221
kl_vacmem_7,kl,vacmem,7,1.65,954.9,578.7272727,3.96,2.1,45.2,22.1,shrub,0.75,1.143,NA,NA,7,2.91867105
kl_vacmem_8,kl,vacmem,8,2.03,1196.5,589.408867,4.18,1.8,44.5,24.4,shrub,0.65,1.336,NA,NA,8,3.488480665
