"species","site","no","sample","lma"
"symalb","af","6","af_symalb_6",2.80536720778818
"symalb","af","7","af_symalb_7",4.67484018885952
"symalb","af","8","af_symalb_8",5.48281128385821
"vacmem","af","1","af_vacmem_1",4.17456316810503
"vacmem","af","10","af_vacmem_10",6.84084326135551
"vacmem","af","20","af_vacmem_20",3.45468042551649
"vacmem","af","3","af_vacmem_3",4.57125963425343
"vacmem","af","4","af_vacmem_4",5.72682866077547
"vacmem","af","5","af_vacmem_5",7.15725200990978
"vacmem","af","6","af_vacmem_6",4.45471835871886
"vacmem","af","7","af_vacmem_7",5.02523289779562
"vacmem","af","8","af_vacmem_8",4.35660342259846
"vacmem","af","9","af_vacmem_9",5.93974842609525
"vibedu","af","1","af_vibedu_1",3.25277123459917
"vibedu","af","11","af_vibedu_11",8.95025079146188
"vibedu","af","12","af_vibedu_12",3.66181451504263
"vibedu","af","2","af_vibedu_2",4.49714428428792
"vibedu","af","3","af_vibedu_3",2.97951189048795
"vibedu","af","3_02","af_vibedu_3_02",NA
"vibedu","af","4","af_vibedu_4",6.69188720491716
"vibedu","af","5","af_vibedu_5",4.87123445935096
"vibedu","af","6","af_vibedu_6",4.75798076955036
"vibedu","af","7","af_vibedu_7",3.99991578382423
"vibedu","af","8","af_vibedu_8",2.85684450987733
"acegla","kl","1","kl_acegla_1",2.29494714570796
"acegla","kl","10","kl_acegla_10",5.2427358707562
"acegla","kl","11","kl_acegla_11",3.55344911116302
"acegla","kl","3","kl_acegla_3",2.80981464583135
"acegla","kl","4","kl_acegla_4",2.96220676989977
"acegla","kl","5","kl_acegla_5",2.94644827672977
"acegla","kl","6","kl_acegla_6",4.84091625202861
"acegla","kl","7","kl_acegla_7",3.58718042395407
"acegla","kl","8","kl_acegla_8",2.49794216262136
"acegla","kl","9","kl_acegla_9",4.37638358913817
"alninc","kl","1","kl_alninc_1",5.38624811938277
"alninc","kl","2","kl_alninc_2",4.29301144020582
"alninc","kl","3","kl_alninc_3",2.74811882926372
"alninc","kl","4","kl_alninc_4",4.24478097625907
"alnvir","kl","10","kl_alnvir_10",3.60492233660427
"alnvir","kl","11","kl_alnvir_11",4.43969334345964
"alnvir","kl","12","kl_alnvir_12",6.5294778616712
"alnvir","kl","2","kl_alnvir_2",2.81143746662672
"alnvir","kl","3","kl_alnvir_3",5.12356924183882
"alnvir","kl","5","kl_alnvir_5",5.58583482313471
"alnvir","kl","6","kl_alnvir_6",5.89749809723182
"alnvir","kl","7","kl_alnvir_7",4.8552155869668
"alnvir","kl","8","kl_alnvir_8",5.01943229506642
"alnvir","kl","9","kl_alnvir_9",4.08981434010856
"amealn","kl","1","kl_amealn_1",3.29787455353231
"amealn","kl","10","kl_amealn_10",6.18022331987274
"amealn","kl","2","kl_amealn_2",2.79793344836736
"amealn","kl","3","kl_amealn_3",4.45172204885956
"amealn","kl","4","kl_amealn_4",4.73673846945928
"amealn","kl","5","kl_amealn_5",5.54321210939092
