"sample","species","site","no","type","ht","dbh","dbh2","dbh3","count"
"af_vacmem_5","vacmem","af","5","shrub",0.68,0.971,0.876,0.759,1
"af_vacmem_6","vacmem","af","6","shrub",0.36,0.366,NA,NA,1
"kl_vacmem_9","vacmem","kl","9","shrub",0.73,1.148,NA,NA,1
"af_vacmem_9","vacmem","af","9","shrub",0.5,0.864,NA,NA,1
"kl_vacmem_11","vacmem","kl","11","shrub",0.42,0.625,NA,NA,1
"mp_vacmem_5_02","vacmem","mp","5_02","shrub",0.99,0.821,NA,NA,1
"mp_vacmem_7","vacmem","mp","7","shrub",1.13,0.952,NA,NA,1
"kl_vacmem_1","vacmem","kl","1","shrub",0.66,1.187,NA,NA,1
"kl_vacmem_2","vacmem","kl","2","shrub",0.92,1.558,NA,NA,1
"af_vacmem_4","vacmem","af","4","shrub",0.3,0.293,NA,NA,1
"sm_vacmem_10","vacmem","sm","10","shrub",0.57,0.772,NA,NA,1
"af_vacmem_8","vacmem","af","8","shrub",0.51,0.677,NA,NA,1
"af_vacmem_3","vacmem","af","3","shrub",0.48,0.521,NA,NA,1
"af_vacmem_10","vacmem","af","10","shrub",0.28,0.624,NA,NA,1
"sm_vacmem_4","vacmem","sm","4","shrub",0.76,0.846,NA,NA,1
"sm_vacmem_3","vacmem","sm","3","shrub",0.65,0.692,NA,NA,1
"af_vacmem_7","vacmem","af","7","shrub",0.55,0.574,NA,NA,1
"sm_vacmem_1","vacmem","sm","1","shrub",0.69,0.73,NA,NA,1
"mp_vacmem_8","vacmem","mp","8","shrub",1.07,1.771,NA,NA,1
"sm_vacmem_2","vacmem","sm","2","shrub",0.76,0.785,NA,NA,1
"af_vibedu_2","vibedu","af","2","shrub",0.75,0.822,NA,NA,1
"af_vibedu_3","vibedu","af","3","shrub",1.12,0.744,NA,NA,1
"af_vibedu_11","vibedu","af","11","shrub",1.24,0.898,NA,NA,1
"af_vibedu_4","vibedu","af","4","shrub",0.8,1.085,NA,NA,1
"af_vibedu_7","vibedu","af","7","shrub",1.18,0.856,NA,NA,1
"sm_vibedu_11","vibedu","sm","11","shrub",1.97,1.004,NA,NA,1
"af_vibedu_6","vibedu","af","6","shrub",2.17,1.392,NA,NA,1
"mp_vibedu_4","vibedu","mp","4","shrub",1.62,10.5,NA,NA,1
"af_vibedu_12","vibedu","af","12","shrub",1.51,1.345,NA,NA,1
"af_vibedu_8","vibedu","af","8","shrub",0.85,0.571,NA,NA,1
"mp_vibedu_2","vibedu","mp","2","shrub",2.33,1.22,NA,NA,1
"af_vibedu_1","vibedu","af","1","shrub",1.12,0.866,NA,NA,1
"kl_vibedu_2","vibedu","kl","2","shrub",0.66,0.609,0.406,NA,1
"kl_vibedu_3","vibedu","kl","3","shrub",1.61,1.466,1.157,NA,1
"kl_vibedu_4","vibedu","kl","4","shrub",1.82,1.55,1.191,NA,1
"mp_vibedu_14","vibedu","mp","14","shrub",2.61,1.183,2.084,NA,1
"kl_vibedu_5","vibedu","kl","5","shrub",1.36,1.704,1.07,NA,1
"af_vibedu_5","vibedu","af","5","shrub",1.36,1.067,NA,NA,1
"sm_vibedu_1","vibedu","sm","1","shrub",1.08,0.768,NA,NA,1
"sm_vibedu_5","vibedu","sm","5","shrub",1.44,0.659,NA,NA,1
"sm_vibedu_7","vibedu","sm","7","shrub",2.35,1.72,NA,NA,1
"sm_vibedu_8","vibedu","sm","8","shrub",1.32,0.898,NA,NA,1
"mp_vibedu_5","vibedu","mp","5","shrub",4.31,3.931,NA,NA,1
"sm_vibedu_9","vibedu","sm","9","shrub",1.76,1.26,NA,NA,1
"kl_vibedu_1","vibedu","kl","1","shrub",1.9,1.594,NA,NA,1
"mp_vibedu_10","vibedu","mp","10","shrub",2.6,1.248,NA,NA,1
"mp_vibedu_12","vibedu","mp","12","shrub",1.46,1.087,NA,NA,1
"mp_vibedu_13","vibedu","mp","13","shrub",2.56,1.306,NA,NA,1
"kl_vibedu_8","vibedu","kl","8","shrub",1.83,1.484,1.698,1.513,1
"kl_vibedu_9","vibedu","kl","9","shrub",3.1,1.599,1.191,NA,1
"kl_vibedu_6","vibedu","kl","6","shrub",1.4,0.888,1.253,NA,1
"kl_vibedu_7","vibedu","kl","7","shrub",1.68,2.137,NA,NA,1
"mp_vibedu_7","vibedu","mp","7","shrub",2.17,1.75,NA,NA,1
"sm_vibedu_10","vibedu","sm","10","shrub",1.43,8.73,NA,NA,1
"kl_vibedu_10","vibedu","kl","10","shrub",2.23,2.912,NA,NA,1
"sm_vibedu_19","vibedu","sm","19","shrub",1.91,1.669,NA,NA,1
"sm_vibedu_20","vibedu","sm","20","shrub",1.94,1.913,NA,NA,1
"sm_vibedu_12","vibedu","sm","12","shrub",1.6,1.37,NA,NA,1
"mp_vibedu_9","vibedu","mp","9","shrub",1.33,0.879,NA,NA,1
"mp_vibedu_8","vibedu","mp","8","shrub",1.72,1.086,NA,NA,1
