site ,species,no,stem.weight
mp,sorsco,13,1238.4
mp,sorsco,14,1300.4
mp,sorsco,11,1527.6
mp,sorsco,11_b,1929.6
mp,spibet,1,344.6
mp,spibet,2,288
mp,spibet,3,338.9
mp,spibet,4,445.9
mp,spibet,5,252.3
mp,spibet,6,279.9
mp,spibet,7,289.2
mp,spibet,8,424.2
mp,spibet,9,463.2
mp,spibet,10,352.7
mp,spidou,1,1548.7
mp,spidou,2,656.6
mp,spidou,3,1550.1
mp,spipyr,1,538.5
mp,spipyr,2,606.8
mp,spipyr,3,1384.4
mp,spipyr,4,532.8
mp,spipyr,5,657.9
mp,spipyr,6,865.3
mp,spipyr,7,556.9
mp,spipyr,8,805.5
mp,spipyr,9,1404.5
mp,spipyr,10,1537.5
mp,symalb,1,1550.1
mp,symalb,3,1355.5
mp,symalb,4,1331.7
mp,symalb,5,1128.8
mp,symalb,6,820.6
mp,symalb,7,1562.3
mp,symalb,8,1418.8
mp,symalb,9,1414.5
mp,symalb,10,1269.8
mp,symalb,11,1040.3
mp,vacmem,1,1485.1
mp,vacmem,3,1133.6
mp,vacmem,4,1218.3
mp,vacmem,5,1913.8
mp,vacmem,6,852.2
mp,vacmem,7,1385.9
mp,vacmem,8,1853.5
mp,vacmem,9,654.5
mp,vacmem,11,1188.2
mp,vacmem,12,2093.7
mp,vacmem,5_02,1731.6
mp,vibedu,2,1004.6
mp,vibedu,4,1302.9
mp,vibedu,5,1353
mp,vibedu,7,1539.2
mp,vibedu,8,1515.8
mp,vibedu,9,1823.3
mp,vibedu,10,1260.5
mp,vibedu,12,598.2
mp,vibedu,13,10872
mp,vibedu,14,999.1
sm,acegla,2,2745.6
sm,acegla,3,1386.7
sm,acegla,7,1650.3
sm,acegla,8,1158.9
sm,acegla,9,4538.9
sm,acegla,10,2287.5
sm,acegla,11,2233.5
sm,acegla,13,1808.8
sm,acegla,14,2267
sm,acegla,15,1921
sm,alninc,1,2210.2
sm,alninc,2,2328.9
sm,alninc,3,2297.8
sm,alninc,4,2387.2
sm,alninc,5,1964.7
sm,alninc,8,771.2
sm,alninc,19,2529.8
sm,alninc,20,2187
sm,alninc,1_June3,920.2
sm,alnvir,1,1506.7
sm,alnvir,2,1640.9
sm,alnvir,6,1024.4
sm,alnvir,7,1390.3
sm,alnvir,9,1153.4
sm,alnvir,10,1245.1
sm,alnvir,16,1051.6
sm,alnvir,17,1154.5
sm,alnvir,18,1257.9
sm,alnvir,19,1164.6
sm,alnvir,20,1339.5
sm,alnvir,1_June3,1128.2
sm,alnvir,2_2,1216.1
sm,amealn,1,1572.8
sm,amealn,2,1383.6
sm,amealn,3,741.6
sm,amealn,4,1619.2
sm,amealn,5,1857.9
sm,amealn,6,1256.3
sm,amealn,7,1429.5
sm,amealn,8,1741.3
sm,amealn,9,2502.8
sm,amealn,10,1965
sm,betpap,1,1421.1
sm,betpap,2,2017.8
sm,betpap,4,1922.1
sm,betpap,5,1541
sm,betpap,6,1045
sm,betpap,7_2,1695.1
sm,betpap,7,1784.2
sm,betpap,8,2440.2
sm,betpap,9,1454.9
sm,betpap,10,1910.1
sm,betpap,13,2006.9
sm,corsto,2,1053.1
sm,corsto,3,984.6
sm,corsto,4,1169.4
sm,corsto,5,1809.1
sm,corsto,6,763
sm,corsto,7,2016.6
sm,corsto,8,605.6
sm,corsto,10,600.2
sm,corsto,11,1642.1
sm,corsto,12,1140.1
sm,corsto,13,2121.3
sm,corsto,14,918.8
sm,loninv,1,1023.5
sm,loninv,2,602.7
sm,loninv,3,1130.5
sm,loninv,4,1027.4
sm,loninv,6,1008.2
sm,loninv,7,924.7
sm,loninv,8,1453.4
sm,loninv,9,603.1
sm,loninv,11,528.8
sm,loninv,10,450.2
sm,menfer,2,888.5
sm,menfer,4,676.6
sm,menfer,6,825.7
sm,menfer,7,NA
sm,menfer,8,1072.9
sm,menfer,9,NA
sm,menfer,10,547.7
sm,menfer,11,482.4
sm,menfer,12,555.2
sm,menfer,13,656.7
sm,menfer,14,562.8
sm,popbal,1,1634.6
sm,popbal,3,1949.3
sm,popbal,5,1372
sm,popbal,6,1263.1
sm,popbal,8,2067.1
sm,popbal,9,1281.4
sm,popbal,10,1276.1
sm,popbal,11,1649.7
sm,popbal,12,1545.5
sm,popbal,20,1471.9
sm,poptre,2,1623.6
sm,poptre,3,1844
sm,poptre,4,1804.7
sm,poptre,5,1337.7
sm,poptre,7,1987
sm,poptre,10,NA
sm,poptre,11,2393.3
sm,poptre,12,2452
sm,poptre,13,2815.2
sm,poptre,14,3319.3
sm,poptre,15,2162.9
sm,poptre,16,1924.1
sm,poptre,17,1389.9
sm,poptre,18,1298.3
sm,poptre,19,1455.1
sm,riblac,2,1029.2
sm,riblac,3,1312.3
sm,riblac,5,766.8
sm,riblac,6,1061
sm,riblac,7,546.4
sm,riblac,8,883.7
sm,riblac,9,1012.7
sm,riblac,10,1145.3
