"sample","site","species","ssd","per.N","per.C","ht","dbh","dbh2","dbh3","lma","C.N","type","transect","latitude","latZ"
"BETALL14_GR","GR","betall",NA,NA,NA,NA,39.9,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"BETPAP01_GR","GR","betpap",0.401869158878505,2.66629799,46.30375838,26,40.2,NA,NA,0.0464738985686039,17.4,NA,"1",43.99837498,-1.06799594411452
"BETPAP02_GR","GR","betpap",0.544502617801047,2.760167932,44.94544868,15,16.9,NA,NA,0.0297100108124957,16.3,NA,"1",43.99837498,-1.06799594411452
"BETPAP03_GR","GR","betpap",0.546712802768166,2.674745338,45.85040727,20,19.6,15.7,NA,0.0628025565748868,17.1,NA,"1",43.99837498,-1.06799594411452
"BETPAP04_GR","GR","betpap",0.522842639593909,2.390119923,47.08849772,10,12.5,5.5,15,0.0449814962481343,19.7,NA,"1",43.99837498,-1.06799594411452
"BETPAP05_GR","GR","betpap",0.524590163934426,1.782761662,46.33240633,6,15.8,11,NA,0.0671829464261396,26,NA,"1",43.99837498,-1.06799594411452
"BETPAP06_GR","GR","betpap",0.537037037037037,2.532924031,45.62559295,10,1.5,2.6,2.6,0.0464205913429061,18,NA,"1",43.99837498,-1.06799594411452
"CORCOR01_GR","GR","corcor",0.581818181818182,NA,NA,1.5,1,NA,NA,0.0221250234014671,NA,NA,"1",43.99837498,-1.06799594411452
"CORCOR02_GR","GR","corcor",0.503597122302158,NA,NA,2,1.4,1.2,NA,0.0225503262569639,NA,NA,"1",43.99837498,-1.06799594411452
"CORCOR03_GR","GR","corcor",0.439393939393939,2.135351589,42.76034131,1.3,NA,NA,NA,0.0300701522984873,20,NA,"1",43.99837498,-1.06799594411452
"CORCOR04_GR","GR","corcor",0.48314606741573,2.775898664,44.33649069,1.9,1.6,1.3,1,0.0335662313384664,16,NA,"1",43.99837498,-1.06799594411452
"CORCOR05_GR","GR","corcor",0.515151515151515,2.768129024,43.29130643,5,3.8,NA,NA,0.0324719929061185,15.6,NA,"1",43.99837498,-1.06799594411452
"CORCOR06_GR","GR","corcor",0.495327102803738,2.934393145,43.47857731,2,1,1,NA,0.0291762725159513,14.8,NA,"1",43.99837498,-1.06799594411452
"CORCOR07_GR","GR","corcor",0.492753623188406,2.899770826,43.59718255,4,1.2,1.3,2.1,0.0291056535222859,15,NA,"1",43.99837498,-1.06799594411452
"CORCOR07-2_GR","GR","corcor",0.475247524752475,2.892981052,43.77081612,NA,NA,NA,NA,NA,15.1,NA,"1",43.99837498,-1.06799594411452
"CORCOR08_GR","GR","corcor",NA,NA,NA,4,1.8,2.8,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"FAGGRA01_GR","GR","faggra",0.678571428571428,2.504909157,41.56306822,12,13.9,NA,NA,0.0271095392212472,16.6,NA,"1",43.99837498,-1.06799594411452
"FAGGRA02_GR","GR","faggra",0.571428571428571,2.198170536,44.54635755,5,2.9,NA,NA,0.0266507872392699,20.3,NA,"1",43.99837498,-1.06799594411452
"FAGGRA03_GR","GR","faggra",0.510869565217391,2.256051472,45.55725899,2.5,1.2,1.3,1.4,0.0325302216252518,20.2,NA,"1",43.99837498,-1.06799594411452
"FAGGRA04_GR","GR","faggra",0.563876651982379,2.300562878,44.80966323,5,3.3,2.8,1.9,0.0349817031973963,19.5,NA,"1",43.99837498,-1.06799594411452
"FAGGRA05_GR","GR","faggra",0.658333333333333,1.995203502,44.08351935,2.2,NA,NA,NA,0.0299944055378435,22.1,NA,"1",43.99837498,-1.06799594411452
"FAGGRA06_GR","GR","faggra",0.531914893617021,2.028873831,44.18377652,8,10.5,NA,NA,0.043608446150513,21.8,NA,"1",43.99837498,-1.06799594411452
"FAGGRA08_GR","GR","faggra",NA,NA,NA,6,4.8,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"FAGGRA09_GR","GR","faggra",NA,NA,NA,NA,29.1,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"FAGGRA10_GR","GR","faggra",NA,NA,NA,NA,14.6,11.8,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"FAGGRA11_GR","GR","faggra",NA,NA,NA,NA,20,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"FRANIG01_GR","GR","franig",0.57037037037037,3.459319044,43.69219036,10,7.5,NA,NA,0.0225919681369575,12.6,NA,"1",43.99837498,-1.06799594411452
"FRANIG02_GR","GR","franig",0.379310344827586,3.10734722,43.21392312,9.5,5.3,NA,NA,0.025263461816082,13.9,NA,"1",43.99837498,-1.06799594411452
"FRANIG03_GR","GR","franig",0.493333333333333,2.963639366,42.55303357,10,8,NA,NA,0.0295668101738673,14.4,NA,"1",43.99837498,-1.06799594411452
"FRANIG04_GR","GR","franig",0.480392156862745,3.117849221,42.55695384,8,4.9,NA,NA,0.0236331315954419,13.6,NA,"1",43.99837498,-1.06799594411452
